Identifier	Database
3562243	Entrez Gene
3562244	Entrez Gene
3562245	Entrez Gene
3562247	Entrez Gene
3562248	Entrez Gene
3562246	Entrez Gene
3562239	Entrez Gene
3562240	Entrez Gene
415826	Entrez Gene
769735	Entrez Gene
431629	Entrez Gene
775974	Entrez Gene
373896	Entrez Gene
772225	Entrez Gene
374072	Entrez Gene
770063	Entrez Gene
416571	Entrez Gene
424078	Entrez Gene
427897	Entrez Gene
769954	Entrez Gene
416391	Entrez Gene
420337	Entrez Gene
768860	Entrez Gene
423763	Entrez Gene
416543	Entrez Gene
423415	Entrez Gene
771510	Entrez Gene
424978	Entrez Gene
3562242	Entrez Gene
417753	Entrez Gene
420976	Entrez Gene
417112	Entrez Gene
374122	Entrez Gene
419793	Entrez Gene
3562241	Entrez Gene
416013	Entrez Gene
427009	Entrez Gene
420236	Entrez Gene
771939	Entrez Gene
415752	Entrez Gene
416336	Entrez Gene
770937	Entrez Gene
770135	Entrez Gene
3562238	Entrez Gene
421392	Entrez Gene
772260	Entrez Gene
420243	Entrez Gene
770190	Entrez Gene
770638	Entrez Gene
426060	Entrez Gene
417157	Entrez Gene
423830	Entrez Gene
419992	Entrez Gene
424142	Entrez Gene
3562236	Entrez Gene
374159	Entrez Gene
426673	Entrez Gene
419866	Entrez Gene
419108	Entrez Gene
769146	Entrez Gene
416495	Entrez Gene
770052	Entrez Gene
418508	Entrez Gene
422115	Entrez Gene
423574	Entrez Gene
418477	Entrez Gene
3562237	Entrez Gene
422141	Entrez Gene
769492	Entrez Gene
426488	Entrez Gene
419039	Entrez Gene
424032	Entrez Gene
430210	Entrez Gene
424102	Entrez Gene
418118	Entrez Gene
772135	Entrez Gene
417907	Entrez Gene
420065	Entrez Gene
404751	Entrez Gene
416978	Entrez Gene
395758	Entrez Gene
772150	Entrez Gene
418541	Entrez Gene
422546	Entrez Gene
423179	Entrez Gene
HMDB01377	HMDB
HMDB02111	HMDB
C00524	KEGG Compound
C00004	KEGG Compound
C00042	KEGG Compound
C05359	KEGG Compound
C00002	KEGG Compound
HMDB01362	HMDB
C00003	KEGG Compound
C00016	KEGG Compound
C01352	KEGG Compound
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
C05359	KEGG Compound
C05359	KEGG Compound
WP770	WikiPathways
