Identifier	Database
HMDB00145	HMDB
HMDB00338	HMDB
396051	Entrez Gene
414856	Entrez Gene
ENSGALG00000004449	Ensembl
ENSGALG00000010556	Ensembl
HMDB00335	HMDB
ENSGALG00000004449	Ensembl
HMDB00405	HMDB
ENSGALG00000002024	Ensembl
424028	Entrez Gene
ENSGALG00000002024	Ensembl
HMDB00405	HMDB
HMDB01425	HMDB
ENSGALG00000011812	Ensembl
418658	Entrez Gene
418659	Entrez Gene
HMDB00343	HMDB
414856	Entrez Gene
396051	Entrez Gene
ENSGALG00000002024	Ensembl
HMDB00010	HMDB
ENSGALG00000002024	Ensembl
148381	PubChem-compound
114862	PubChem-compound
ENSGALG00000023437	Ensembl
ENSGALG00000023437	Ensembl
HMDB01377	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
HMDB02168	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
ENSGALG00000016325	Ensembl
HMDB04483	HMDB
HMDB04483	HMDB
ENSGALG00000021016	Ensembl
HMDB06224	HMDB
ENSGALG00000021016	Ensembl
424028	Entrez Gene
HMDB04482	HMDB
ENSGALG00000021016	Ensembl
ENSGALG00000021016	Ensembl
424028	Entrez Gene
ENSGALG00000021016	Ensembl
ENSGALG00000021016	Ensembl
ENSGALG00000021016	Ensembl
424028	Entrez Gene
424028	Entrez Gene
424028	Entrez Gene
771048	Entrez Gene
ENSGALG00000021016	Ensembl
ENSGALG00000021016	Ensembl
ENSGALG00000021016	Ensembl
771048	Entrez Gene
418654	Entrez Gene
