Identifier	Database
395373	Entrez Gene
396061	Entrez Gene
430557	Entrez Gene
396504	Entrez Gene
396061	Entrez Gene
396061	Entrez Gene
396061	Entrez Gene
396061	Entrez Gene
396061	Entrez Gene
396061	Entrez Gene
426847	Entrez Gene
420290	Entrez Gene
395706	Entrez Gene
422547	Entrez Gene
424810	Entrez Gene
422345	Entrez Gene
419158	Entrez Gene
423896	Entrez Gene
416324	Entrez Gene
396061	Entrez Gene
770828	Entrez Gene
419098	Entrez Gene
424646	Entrez Gene
769021	Entrez Gene
419601	Entrez Gene
424224	Entrez Gene
420218	Entrez Gene
CHEBI:57288	ChEBI
CHEBI:15531	ChEBI
CHEBI:58342	ChEBI
