Identifier	Database
ENSGALG00000017159	Ensembl
ENSGALG00000006794	Ensembl
ENSGALG00000003072	Ensembl
ENSGALG00000017211	Ensembl
ENSGALG00000015912	Ensembl
ENSGALG00000004516	Ensembl
ENSGALG00000003072	Ensembl
ENSGALG00000003072	Ensembl
ENSGALG00000017159	Ensembl
ENSGALG00000004516	Ensembl
ENSGALG00000004516	Ensembl
ENSGALG00000017073	Ensembl
ENSGALG00000017073	Ensembl
ENSGALG00000017073	Ensembl
ENSGALG00000003072	Ensembl
ENSGALG00000012993	Ensembl
ENSGALG00000004516	Ensembl
ENSGALG00000012993	Ensembl
ENSGALG00000017073	Ensembl
ENSGALG00000012993	Ensembl
ENSGALG00000015955	Ensembl
ENSGALG00000015955	Ensembl
ENSGALG00000017307	Ensembl
