Identifier	Database
420133	Entrez Gene
395889	Entrez Gene
429126	Entrez Gene
424971	Entrez Gene
424826	Entrez Gene
417706	Entrez Gene
419444	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
429096	Entrez Gene
428449	Entrez Gene
423070	Entrez Gene
418181	Entrez Gene
416588	Entrez Gene
395928	Entrez Gene
373973	Entrez Gene
418335	Entrez Gene
423675	Entrez Gene
424991	Entrez Gene
419399	Entrez Gene
416626	Entrez Gene
428927	Entrez Gene
420398	Entrez Gene
418690	Entrez Gene
374231	Entrez Gene
374064	Entrez Gene
378934	Entrez Gene
422456	Entrez Gene
395934	Entrez Gene
386572	Entrez Gene
395815	Entrez Gene
425964	Entrez Gene
423572	Entrez Gene
396245	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
416496	Entrez Gene
417312	Entrez Gene
415557	Entrez Gene
427144	Entrez Gene
424225	Entrez Gene
419954	Entrez Gene
421579	Entrez Gene
373953	Entrez Gene
415419	Entrez Gene
771145	Entrez Gene
395983	Entrez Gene
422592	Entrez Gene
421688	Entrez Gene
423778	Entrez Gene
421183	Entrez Gene
420479	Entrez Gene
421808	Entrez Gene
417739	Entrez Gene
776822	Entrez Gene
418714	Entrez Gene
424876	Entrez Gene
425965	Entrez Gene
769763	Entrez Gene
423576	Entrez Gene
419964	Entrez Gene
417637	Entrez Gene
421570	Entrez Gene
418605	Entrez Gene
386579	Entrez Gene
423408	Entrez Gene
422273	Entrez Gene
427858	Entrez Gene
424568	Entrez Gene
374038	Entrez Gene
418406	Entrez Gene
417173	Entrez Gene
419680	Entrez Gene
423749	Entrez Gene
423513	Entrez Gene
395114	Entrez Gene
417553	Entrez Gene
417579	Entrez Gene
395688	Entrez Gene
419455	Entrez Gene
422703	Entrez Gene
426773	Entrez Gene
418201	Entrez Gene
373931	Entrez Gene
396512	Entrez Gene
424673	Entrez Gene
396130	Entrez Gene
420948	Entrez Gene
431265	Entrez Gene
396229	Entrez Gene
415790	Entrez Gene
428692	Entrez Gene
417430	Entrez Gene
416567	Entrez Gene
423518	Entrez Gene
415905	Entrez Gene
426929	Entrez Gene
425050	Entrez Gene
769850	Entrez Gene
417166	Entrez Gene
420434	Entrez Gene
416552	Entrez Gene
421532	Entrez Gene
417393	Entrez Gene
424827	Entrez Gene
396444	Entrez Gene
423235	Entrez Gene
417555	Entrez Gene
420472	Entrez Gene
416332	Entrez Gene
395133	Entrez Gene
419166	Entrez Gene
420167	Entrez Gene
421769	Entrez Gene
428062	Entrez Gene
396103	Entrez Gene
424183	Entrez Gene
404293	Entrez Gene
424341	Entrez Gene
423778	Entrez Gene
416630	Entrez Gene
395299	Entrez Gene
427185	Entrez Gene
429110	Entrez Gene
426792	Entrez Gene
416918	Entrez Gene
395871	Entrez Gene
418044	Entrez Gene
428017	Entrez Gene
770341	Entrez Gene
771172	Entrez Gene
