Identifier	Database
427171	Entrez Gene
771142	Entrez Gene
395934	Entrez Gene
771315	Entrez Gene
386572	Entrez Gene
421020	Entrez Gene
423557	Entrez Gene
428570	Entrez Gene
395335	Entrez Gene
395272	Entrez Gene
417553	Entrez Gene
396442	Entrez Gene
428962	Entrez Gene
374199	Entrez Gene
416523	Entrez Gene
395153	Entrez Gene
428761	Entrez Gene
417430	Entrez Gene
424044	Entrez Gene
395556	Entrez Gene
417706	Entrez Gene
771172	Entrez Gene
420948	Entrez Gene
395928	Entrez Gene
396407	Entrez Gene
421127	Entrez Gene
430423	Entrez Gene
427947	Entrez Gene
395815	Entrez Gene
386579	Entrez Gene
395886	Entrez Gene
373953	Entrez Gene
417181	Entrez Gene
424745	Entrez Gene
419280	Entrez Gene
396238	Entrez Gene
427327	Entrez Gene
429374	Entrez Gene
416939	Entrez Gene
374038	Entrez Gene
416630	Entrez Gene
373938	Entrez Gene
769076	Entrez Gene
425964	Entrez Gene
418000	Entrez Gene
396294	Entrez Gene
416567	Entrez Gene
396229	Entrez Gene
396245	Entrez Gene
421271	Entrez Gene
423292	Entrez Gene
418608	Entrez Gene
418406	Entrez Gene
374075	Entrez Gene
378783	Entrez Gene
396028	Entrez Gene
378783	Entrez Gene
396028	Entrez Gene
415549	Entrez Gene
420027	Entrez Gene
430423	Entrez Gene
