Identifier	Database
ENSGALG00000003952	Ensembl
ENSGALG00000014991	Ensembl
ENSGALG00000015718	Ensembl
ENSGALG00000013465	Ensembl
ENSGALG00000007762	Ensembl
ENSGALG00000003369	Ensembl
ENSGALG00000011278	Ensembl
ENSGALG00000011182	Ensembl
ENSGALG00000008514	Ensembl
ENSGALG00000009020	Ensembl
ENSGALG00000011696	Ensembl
ENSGALG00000004284	Ensembl
ENSGALG00000012442	Ensembl
ENSGALG00000002841	Ensembl
ENSGALG00000002922	Ensembl
ENSGALG00000016427	Ensembl
769986	Entrez Gene
ENSGALG00000002578	Ensembl
ENSGALG00000009320	Ensembl
ENSGALG00000009073	Ensembl
ENSGALG00000009147	Ensembl
ENSGALG00000001600	Ensembl
ENSGALG00000008414	Ensembl
ENSGALG00000009300	Ensembl
ENSGALG00000001905	Ensembl
ENSGALG00000010835	Ensembl
ENSGALG00000012075	Ensembl
422802	Entrez Gene
ENSGALG00000005929	Ensembl
ENSGALG00000003120	Ensembl
395128	Entrez Gene
ENSGALG00000001141	Ensembl
ENSGALG00000002375	Ensembl
ENSGALG00000009809	Ensembl
ENSGALG00000003297	Ensembl
395925	Entrez Gene
ENSGALG00000002739	Ensembl
