Identifier	Database
HMDB01487	HMDB
HMDB00902	HMDB
HMDB01362	HMDB
HMDB01341	HMDB
HMDB00538	HMDB
374159	Entrez Gene
426673	Entrez Gene
419992	Entrez Gene
419866	Entrez Gene
419992	Entrez Gene
424142	Entrez Gene
422115	Entrez Gene
769146	Entrez Gene
418477	Entrez Gene
416495	Entrez Gene
770052	Entrez Gene
418508	Entrez Gene
423574	Entrez Gene
3562236	Entrez Gene
427854	Entrez Gene
418573	Entrez Gene
ENSGALG00000018368	Ensembl
ENSGALG00000018367	Ensembl
420060	Entrez Gene
3562242	Entrez Gene
3562243	Entrez Gene
3562244	Entrez Gene
3562247	Entrez Gene
3562246	Entrez Gene
3562245	Entrez Gene
768860	Entrez Gene
3562248	Entrez Gene
424032	Entrez Gene
417112	Entrez Gene
417753	Entrez Gene
772135	Entrez Gene
419039	Entrez Gene
416571	Entrez Gene
420065	Entrez Gene
423415	Entrez Gene
427897	Entrez Gene
424102	Entrez Gene
423763	Entrez Gene
423179	Entrez Gene
769492	Entrez Gene
418118	Entrez Gene
420976	Entrez Gene
374122	Entrez Gene
416543	Entrez Gene
771510	Entrez Gene
769954	Entrez Gene
416391	Entrez Gene
404751	Entrez Gene
424978	Entrez Gene
420337	Entrez Gene
426488	Entrez Gene
418541	Entrez Gene
