Identifier	Database
396065	Entrez Gene
422776	Entrez Gene
396065	Entrez Gene
428708	Entrez Gene
428906	Entrez Gene
772372	Entrez Gene
428610	Entrez Gene
378928	Entrez Gene
378927	Entrez Gene
420696	Entrez Gene
428457	Entrez Gene
420695	Entrez Gene
769278	Entrez Gene
428315	Entrez Gene
776400	Entrez Gene
395324	Entrez Gene
419784	Entrez Gene
420719	Entrez Gene
395962	Entrez Gene
395776	Entrez Gene
428900	Entrez Gene
428512	Entrez Gene
770030	Entrez Gene
427904	Entrez Gene
373908	Entrez Gene
408082	Entrez Gene
422801	Entrez Gene
414885	Entrez Gene
418198	Entrez Gene
430652	Entrez Gene
427562	Entrez Gene
428485	Entrez Gene
421047	Entrez Gene
428727	Entrez Gene
422405	Entrez Gene
422419	Entrez Gene
428149	Entrez Gene
429951	Entrez Gene
428533	Entrez Gene
419251	Entrez Gene
427517	Entrez Gene
395770	Entrez Gene
378911	Entrez Gene
395677	Entrez Gene
768996	Entrez Gene
768993	Entrez Gene
771648	Entrez Gene
395305	Entrez Gene
427907	Entrez Gene
428547	Entrez Gene
427667	Entrez Gene
771773	Entrez Gene
428263	Entrez Gene
427860	Entrez Gene
429211	Entrez Gene
430484	Entrez Gene
428516	Entrez Gene
428955	Entrez Gene
693264	Entrez Gene
CHEBI:7872	ChEBI
