Identifier	Database
416066	Entrez Gene
420969	Entrez Gene
HMDB00193	HMDB
427550	Entrez Gene
HMDB01022	HMDB
417699	Entrez Gene
416087	Entrez Gene
420570	Entrez Gene
100310659	Entrez Gene
419796	Entrez Gene
417699	Entrez Gene
421281	Entrez Gene
423357	Entrez Gene
425972	Entrez Gene
HMDB01206	HMDB
426573	Entrez Gene
415362	Entrez Gene
422932	Entrez Gene
395758	Entrez Gene
423154	Entrez Gene
417517	Entrez Gene
HMDB00156	HMDB
418595	Entrez Gene
418857	Entrez Gene
426429	Entrez Gene
HMDB00223	HMDB
HMDB00156	HMDB
HMDB00223	HMDB
428372	Entrez Gene
HMDB00134	HMDB
419793	Entrez Gene
HMDB00094	HMDB
HMDB00243	HMDB
374009	Entrez Gene
HMDB00254	HMDB
770063	Entrez Gene
418610	Entrez Gene
