Identifier	Database
396361	Entrez Gene
396165	Entrez Gene
374251	Entrez Gene
771557	Entrez Gene
396399	Entrez Gene
374094	Entrez Gene
374233	Entrez Gene
421461	Entrez Gene
396119	Entrez Gene
373912	Entrez Gene
424191	Entrez Gene
373987	Entrez Gene
396399	Entrez Gene
374094	Entrez Gene
424639	Entrez Gene
395680	Entrez Gene
395679	Entrez Gene
395543	Entrez Gene
395247	Entrez Gene
395132	Entrez Gene
396054	Entrez Gene
396165	Entrez Gene
408035	Entrez Gene
424044	Entrez Gene
395247	Entrez Gene
395680	Entrez Gene
396033	Entrez Gene
429683	Entrez Gene
374096	Entrez Gene
396229	Entrez Gene
395964	Entrez Gene
395681	Entrez Gene
395983	Entrez Gene
395210	Entrez Gene
424306	Entrez Gene
373919	Entrez Gene
769687	Entrez Gene
395865	Entrez Gene
420027	Entrez Gene
424673	Entrez Gene
415738	Entrez Gene
418000	Entrez Gene
416667	Entrez Gene
396339	Entrez Gene
396087	Entrez Gene
428181	Entrez Gene
396512	Entrez Gene
427718	Entrez Gene
428413	Entrez Gene
