Identifier	Database
423359	Entrez Gene
424587	Entrez Gene
425800	Entrez Gene
424948	Entrez Gene
422930	Entrez Gene
395147	Entrez Gene
415573	Entrez Gene
419653	Entrez Gene
420288	Entrez Gene
777308	Entrez Gene
423748	Entrez Gene
420272	Entrez Gene
771356	Entrez Gene
395232	Entrez Gene
417490	Entrez Gene
422703	Entrez Gene
420037	Entrez Gene
420037	Entrez Gene
426773	Entrez Gene
769479	Entrez Gene
419244	Entrez Gene
395723	Entrez Gene
769368	Entrez Gene
396325	Entrez Gene
416182	Entrez Gene
430997	Entrez Gene
424953	Entrez Gene
425544	Entrez Gene
423279	Entrez Gene
395295	Entrez Gene
418597	Entrez Gene
395514	Entrez Gene
418606	Entrez Gene
417675	Entrez Gene
423927	Entrez Gene
395360	Entrez Gene
423479	Entrez Gene
416619	Entrez Gene
419140	Entrez Gene
373963	Entrez Gene
