Identifier	Database
396054	Entrez Gene
396054	Entrez Gene
396054	Entrez Gene
421685	Entrez Gene
418502	Entrez Gene
395681	Entrez Gene
374199	Entrez Gene
374199	Entrez Gene
418502	Entrez Gene
421685	Entrez Gene
395681	Entrez Gene
396054	Entrez Gene
374199	Entrez Gene
418502	Entrez Gene
421685	Entrez Gene
395681	Entrez Gene
418502	Entrez Gene
396054	Entrez Gene
395681	Entrez Gene
374199	Entrez Gene
421685	Entrez Gene
395299	Entrez Gene
416630	Entrez Gene
395815	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
415905	Entrez Gene
374179	Entrez Gene
395879	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
396398	Entrez Gene
395807	Entrez Gene
427727	Entrez Gene
427676	Entrez Gene
418581	Entrez Gene
395196	Entrez Gene
395147	Entrez Gene
396384	Entrez Gene
396385	Entrez Gene
396385	Entrez Gene
396115	Entrez Gene
