Identifier	Database
420627	Entrez Gene
396268	Entrez Gene
426516	Entrez Gene
776411	Entrez Gene
396180	Entrez Gene
417916	Entrez Gene
771344	Entrez Gene
419331	Entrez Gene
422258	Entrez Gene
421929	Entrez Gene
423416	Entrez Gene
769028	Entrez Gene
772264	Entrez Gene
396195	Entrez Gene
419815	Entrez Gene
423258	Entrez Gene
428216	Entrez Gene
415295	Entrez Gene
416295	Entrez Gene
421760	Entrez Gene
426265	Entrez Gene
419116	Entrez Gene
395403	Entrez Gene
426493	Entrez Gene
421046	Entrez Gene
421819	Entrez Gene
427379	Entrez Gene
424889	Entrez Gene
422602	Entrez Gene
395157	Entrez Gene
419570	Entrez Gene
420054	Entrez Gene
420098	Entrez Gene
395298	Entrez Gene
386575	Entrez Gene
416947	Entrez Gene
420113	Entrez Gene
423362	Entrez Gene
427168	Entrez Gene
428349	Entrez Gene
415947	Entrez Gene
416494	Entrez Gene
419254	Entrez Gene
419556	Entrez Gene
420811	Entrez Gene
769794	Entrez Gene
419600	Entrez Gene
421261	Entrez Gene
419608	Entrez Gene
415523	Entrez Gene
427717	Entrez Gene
420077	Entrez Gene
424056	Entrez Gene
415875	Entrez Gene
421760	Entrez Gene
419569	Entrez Gene
417559	Entrez Gene
417991	Entrez Gene
417270	Entrez Gene
417270	Entrez Gene
417559	Entrez Gene
421595	Entrez Gene
423131	Entrez Gene
395878	Entrez Gene
395249	Entrez Gene
423437	Entrez Gene
419869	Entrez Gene
422813	Entrez Gene
419982	Entrez Gene
420879	Entrez Gene
769691	Entrez Gene
373923	Entrez Gene
428133	Entrez Gene
426889	Entrez Gene
428701	Entrez Gene
421236	Entrez Gene
425528	Entrez Gene
374111	Entrez Gene
424479	Entrez Gene
426667	Entrez Gene
373972	Entrez Gene
418248	Entrez Gene
395370	Entrez Gene
421185	Entrez Gene
417711	Entrez Gene
421986	Entrez Gene
416756	Entrez Gene
423322	Entrez Gene
421492	Entrez Gene
416802	Entrez Gene
395803	Entrez Gene
415658	Entrez Gene
419036	Entrez Gene
422248	Entrez Gene
426042	Entrez Gene
415680	Entrez Gene
425060	Entrez Gene
420055	Entrez Gene
428281	Entrez Gene
HMDB01397	HMDB
HMDB01532	HMDB
