Identifier	Database
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000014135	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000014280	Ensembl
ENSSSCG00000014955	Ensembl
ENSSSCG00000014135	Ensembl
ENSSSCG00000016205	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
ENSSSCG00000006274	Ensembl
ENSSSCG00000016177	Ensembl
ENSSSCG00000000059	Ensembl
