Identifier	Database
K02777...	Kegg ortholog
K11389	Kegg ortholog
C00267	KEGG Compound
Rv0489	TubercuList
Rv1530	TubercuList
C06188	KEGG Compound
K00114	Kegg ortholog
Rv0458	TubercuList
K02777...	Kegg ortholog
Rv2702	TubercuList
Rv0650	TubercuList
K01905	Kegg ortholog
C00031	KEGG Compound
Rv1438	TubercuList
C00221	KEGG Compound
K02777...	Kegg ortholog
C00074	KEGG Compound
Rv0794c	TubercuList
Rv3068c	TubercuList
C00111	KEGG Compound
Rv0650	TubercuList
K01222...	Kegg ortholog
K00129	Kegg ortholog
Rv2029c	TubercuList
K03738	Kegg ortholog
C00469	KEGG Compound
Rv1862	TubercuList
Rv2858c	TubercuList
K02777...	Kegg ortholog
K01610	Kegg ortholog
Rv2496c	TubercuList
Rv3667	TubercuList
K01222...	Kegg ortholog
C00022	KEGG Compound
K02777...	Kegg ortholog
C00631	KEGG Compound
Rv3257c	TubercuList
Rv0462	TubercuList
Rv0761c	TubercuList
C05378	KEGG Compound
C15973	KEGG Compound
Rv1436	TubercuList
Rv0946c	TubercuList
C00118	KEGG Compound
Rv2496c	TubercuList
C06187	KEGG Compound
Rv0211	TubercuList
K01568	Kegg ortholog
K02777...	Kegg ortholog
K05344	Kegg ortholog
Rv0768	TubercuList
C00236	KEGG Compound
K02777...	Kegg ortholog
C00033	KEGG Compound
Rv0147	TubercuList
K02777...	Kegg ortholog
Rv0363c	TubercuList
C00036	KEGG Compound
Rv0162c	TubercuList
Rv1023	TubercuList
C01451	KEGG Compound
Rv3214	TubercuList
C16255	KEGG Compound
K01222...	Kegg ortholog
C00024	KEGG Compound
Rv0843	TubercuList
K01084	Kegg ortholog
Rv3010c	TubercuList
C06186	KEGG Compound
Rv2495c	TubercuList
Rv1437	TubercuList
C01172	KEGG Compound
Rv2241	TubercuList
K00844	Kegg ortholog
C00084	KEGG Compound
K01785	Kegg ortholog
C00668	KEGG Compound
K00169...	Kegg ortholog
K02777...	Kegg ortholog
C05125	KEGG Compound
Rv1099c	TubercuList
Rv0946c	TubercuList
Rv0843	TubercuList
Rv2702	TubercuList
Rv3303c	TubercuList
K00169...	Kegg ortholog
Rv2419c	TubercuList
C00068	KEGG Compound
C00186	KEGG Compound
C00197	KEGG Compound
K00844	Kegg ortholog
C15972	KEGG Compound
Rv3045	TubercuList
K00131	Kegg ortholog
K01837	Kegg ortholog
K01085	Kegg ortholog
K01792	Kegg ortholog
Rv2241	TubercuList
Rv2497c	TubercuList
Rv1617	TubercuList
K02777...	Kegg ortholog
K01568	Kegg ortholog
K04022	Kegg ortholog
K00150	Kegg ortholog
C01159	KEGG Compound
Rv0946c	TubercuList
C05345	KEGG Compound
K02777...	Kegg ortholog
K01222...	Kegg ortholog
Rv2497c	TubercuList
K02777...	Kegg ortholog
K01837	Kegg ortholog
K00016	Kegg ortholog
C00103	KEGG Compound
K00169...	Kegg ortholog
K02777...	Kegg ortholog
K00169...	Kegg ortholog
WP1701	WikiPathways
WP1684	WikiPathways
WP1566	WikiPathways
WP1690	WikiPathways
