Identifier	Database
Rv1599	TubercuList
C01267	KEGG Compound
C05828	KEGG Compound
C01262	KEGG Compound
C02741	KEGG Compound
K01712	Kegg ortholog
Rv0892	TubercuList
1.14.13.5	Enzyme Nomenclature
C00785	KEGG Compound
C05570	KEGG Compound
Rv1606	TubercuList
C04916	KEGG Compound
C00049	KEGG Compound
C05829	KEGG Compound
K01089...	Kegg ortholog
K01590	Kegg ortholog
C00026	KEGG Compound
6.3.2.11	Enzyme Nomenclature
C05827	KEGG Compound
C05575	KEGG Compound
C03277	KEGG Compound
K00603	Kegg ortholog
WP1693	WikiPathways
Rv2121c	TubercuList
6.3.2.11	Enzyme Nomenclature
Rv1603	TubercuList
K01458	Kegg ortholog
C00025	KEGG Compound
C04896	KEGG Compound
Rv0458	TubercuList
C00860	KEGG Compound
Rv1600	TubercuList
C01045	KEGG Compound
C16673	KEGG Compound
C04437	KEGG Compound
Rv1605	TubercuList
K11182	Kegg ortholog
C00119	KEGG Compound
C01044	KEGG Compound
Rv2858c	TubercuList
Rv1602	TubercuList
C01100	KEGG Compound
K01593	Kegg ortholog
C03680	KEGG Compound
C05135	KEGG Compound
C05133	KEGG Compound
C02835	KEGG Compound
K05604	Kegg ortholog
C05131	KEGG Compound
Rv0147	TubercuList
C00388	KEGG Compound
3.5.1.8	Enzyme Nomenclature
C05571	KEGG Compound
2.6.1.38	Enzyme Nomenclature
K01270	Kegg ortholog
C02739	KEGG Compound
K01745	Kegg ortholog
K01089...	Kegg ortholog
C00439	KEGG Compound
Rv3170	TubercuList
WP1684	WikiPathways
Rv0768	TubercuList
Rv1601	TubercuList
C05127	KEGG Compound
K01437	Kegg ortholog
K01468	Kegg ortholog
C05565	KEGG Compound
Rv2122c	TubercuList
K01479	Kegg ortholog
C16674	KEGG Compound
C04666	KEGG Compound
K01089...	Kegg ortholog
WP1617	WikiPathways
6.3.4.8	Enzyme Nomenclature
K05603	Kegg ortholog
K00129	Kegg ortholog
Rv1599	TubercuList
C01929	KEGG Compound
3.4.13.5	Enzyme Nomenclature
2.3.1.-	Enzyme Nomenclature
3.5.2.-	Enzyme Nomenclature
C05572	KEGG Compound
3.5.3.5	Enzyme Nomenclature
C00135	KEGG Compound
Rv3772	TubercuList
C01152	KEGG Compound
C05130	KEGG Compound
C03409	KEGG Compound
2.1.1.22	Enzyme Nomenclature
K00546	Kegg ortholog
C04677	KEGG Compound
C00386	KEGG Compound
C05568	KEGG Compound
WP1617	WikiPathways
