Identifier	Database
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000021615	Ensembl
75570	Entrez Gene
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000020380	Ensembl
ENSMUSG00000031928	Ensembl
ENSMUSG00000021615	Ensembl
ENSMUSG00000026162	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
ENSMUSG00000022672	Ensembl
ENSMUSG00000026187	Ensembl
ENSMUSG00000022471	Ensembl
