Identifier	Database
1277651	Entrez Gene
1281195	Entrez Gene
1276738	Entrez Gene
1276999	Entrez Gene
1275918	Entrez Gene
1275917	Entrez Gene
1272643	Entrez Gene
1271764	Entrez Gene
1270475	Entrez Gene
1270041	Entrez Gene
1275769	Entrez Gene
1270681	Entrez Gene
1276035	Entrez Gene
1278028	Entrez Gene
1279642	Entrez Gene
1274553	Entrez Gene
1275768	Entrez Gene
1282031	Entrez Gene
1274119	Entrez Gene
1276468	Entrez Gene
1275573	Entrez Gene
3291042	Entrez Gene
1274822	Entrez Gene
1273769	Entrez Gene
1280005	Entrez Gene
1269746	Entrez Gene
1281887	Entrez Gene
1279643	Entrez Gene
1281755	Entrez Gene
1280711	Entrez Gene
1279877	Entrez Gene
1274882	Entrez Gene
3290537	Entrez Gene
1274537	Entrez Gene
