Identifier	Database
176348	Entrez Gene
174138	Entrez Gene
179331	Entrez Gene
181334	Entrez Gene
171809	Entrez Gene
172044	Entrez Gene
174346	Entrez Gene
174478	Entrez Gene
172959	Entrez Gene
176268	Entrez Gene
175966	Entrez Gene
178536	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
175975	Entrez Gene
176120	Entrez Gene
178419	Entrez Gene
179522	Entrez Gene
172743	Entrez Gene
179028	Entrez Gene
 	Entrez Gene
172920	Entrez Gene
 	Entrez Gene
 	Entrez Gene
171769	Entrez Gene
172584	Entrez Gene
 	Entrez Gene
175353	Entrez Gene
 	Entrez Gene
177254	Entrez Gene
 	Entrez Gene
176094	Entrez Gene
175138	Entrez Gene
 	Entrez Gene
179165	Entrez Gene
176373	Entrez Gene
175871	Entrez Gene
173169	Entrez Gene
181044	Entrez Gene
