Identifier	Database
3565706	Entrez Gene
174072	Entrez Gene
179639	Entrez Gene
176668	Entrez Gene
176103	Entrez Gene
171834	Entrez Gene
174378	Entrez Gene
178285	Entrez Gene
177003	Entrez Gene
179103	Entrez Gene
176742	Entrez Gene
172768	Entrez Gene
179833	Entrez Gene
176688	Entrez Gene
173915	Entrez Gene
173013	Entrez Gene
3565068	Entrez Gene
175270	Entrez Gene
172999	Entrez Gene
177566	Entrez Gene
174748	Entrez Gene
177190	Entrez Gene
178143	Entrez Gene
182875	Entrez Gene
172814	Entrez Gene
172345	Entrez Gene
177398	Entrez Gene
173086	Entrez Gene
172881	Entrez Gene
174647	Entrez Gene
176002	Entrez Gene
177181	Entrez Gene
172116	Entrez Gene
176561	Entrez Gene
174417	Entrez Gene
178483	Entrez Gene
179567	Entrez Gene
174646	Entrez Gene
179705	Entrez Gene
174175	Entrez Gene
172312	Entrez Gene
172657	Entrez Gene
178151	Entrez Gene
175851	Entrez Gene
180180	Entrez Gene
181319	Entrez Gene
174747	Entrez Gene
177182	Entrez Gene
174364	Entrez Gene
173767	Entrez Gene
173440	Entrez Gene
178147	Entrez Gene
175549	Entrez Gene
178542	Entrez Gene
172406	Entrez Gene
176409	Entrez Gene
172999	Entrez Gene
171833	Entrez Gene
176153	Entrez Gene
3564851	Entrez Gene
183250	Entrez Gene
183250	Entrez Gene
179833	Entrez Gene
176153	Entrez Gene
174380	Entrez Gene
175442	Entrez Gene
174816	Entrez Gene
176913	Entrez Gene
180326	Entrez Gene
176138	Entrez Gene
175771	Entrez Gene
173920	Entrez Gene
172443	Entrez Gene
191736	Entrez Gene
175117	Entrez Gene
173401	Entrez Gene
176922	Entrez Gene
182722	Entrez Gene
175071	Entrez Gene
176422	Entrez Gene
176461	Entrez Gene
178091	Entrez Gene
177988	Entrez Gene
