Identifier	Database
13982	Entrez Gene
13982	Entrez Gene
13982	Entrez Gene
13982	Entrez Gene
13982	Entrez Gene
13982	Entrez Gene
13982	Entrez Gene
328572	Entrez Gene
12914	Entrez Gene
235459	Entrez Gene
21374	Entrez Gene
13982	Entrez Gene
16202	Entrez Gene
23894	Entrez Gene
68153	Entrez Gene
13871	Entrez Gene
235459	Entrez Gene
17420	Entrez Gene
66464	Entrez Gene
108143	Entrez Gene
229906	Entrez Gene
226182	Entrez Gene
21343	Entrez Gene
24074	Entrez Gene
209357	Entrez Gene
68705	Entrez Gene
99730	Entrez Gene
13872	Entrez Gene
12572	Entrez Gene
74197	Entrez Gene
66671	Entrez Gene
21374	Entrez Gene
14885	Entrez Gene
14884	Entrez Gene
66420	Entrez Gene
245841	Entrez Gene
231329	Entrez Gene
69833	Entrez Gene
20021	Entrez Gene
20022	Entrez Gene
17749	Entrez Gene
67710	Entrez Gene
69920	Entrez Gene
20020	Entrez Gene
20185	Entrez Gene
208727	Entrez Gene
15184	Entrez Gene
15183	Entrez Gene
15185	Entrez Gene
433759	Entrez Gene
56233	Entrez Gene
15182	Entrez Gene
70315	Entrez Gene
20466	Entrez Gene
12443	Entrez Gene
216148	Entrez Gene
ENSMUSG00000063358	Ensembl
109880	Entrez Gene
ENSMUSG00000025499	Ensembl
13712	Entrez Gene
ENSMUSG00000004936	Ensembl
14784	Entrez Gene
20662	Entrez Gene
13982	Entrez Gene
20779	Entrez Gene
26416	Entrez Gene
26420	Entrez Gene
18706	Entrez Gene
11651	Entrez Gene
HMDB00058	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
18747	Entrez Gene
12912	Entrez Gene
12043	Entrez Gene
12043	Entrez Gene
ENSMUSG00000031537	Ensembl
ENSMUSG00000004221	Ensembl
ENSMUSG00000025199	Ensembl
18033	Entrez Gene
18033	Entrez Gene
12912	Entrez Gene
20683	Entrez Gene
16476	Entrez Gene
14281	Entrez Gene
14683	Entrez Gene
14688	Entrez Gene
14699	Entrez Gene
76854	Entrez Gene
12189	Entrez Gene
