Identifier	Database
AGAP006511	Ensembl
AGAP003893	Ensembl
AGAP003893	Ensembl
AGAP000029	Ensembl
AGAP004434	Ensembl
AGAP004434	Ensembl
AGAP010265	Ensembl
AGAP010265	Ensembl
AGAP004154	Ensembl
AGAP004154	Ensembl
AGAP006439	Ensembl
AGAP006439	Ensembl
AGAP006439	Ensembl
AGAP001015	Ensembl
AGAP001015	Ensembl
AGAP003873	Ensembl
AGAP002381	Ensembl
AGAP009816	Ensembl
AGAP009816	Ensembl
AGAP002957	Ensembl
AGAP002957	Ensembl
AGAP001734	Ensembl
AGAP004448	Ensembl
AGAP004448	Ensembl
AGAP004448	Ensembl
AGAP010167	Ensembl
AGAP010167	Ensembl
AGAP000903	Ensembl
AGAP000903	Ensembl
AGAP000903	Ensembl
AGAP000903	Ensembl
AGAP000903	Ensembl
1279906	Entrez Gene
AGAP001015	Ensembl
AGAP006511	Ensembl
1281896	Entrez Gene
AGAP011644	Ensembl
