Identifier	Database
1272627	Entrez Gene
1281238	Entrez Gene
1272475	Entrez Gene
HMDB00193	HMDB
HMDB01022	HMDB
1281003	Entrez Gene
1274499	Entrez Gene
1280620	Entrez Gene
1277974	Entrez Gene
1281003	Entrez Gene
1271401	Entrez Gene
1270895	Entrez Gene
HMDB01206	HMDB
1278179	Entrez Gene
1273240	Entrez Gene
1281865	Entrez Gene
1272618	Entrez Gene
1273838	Entrez Gene
1281223	Entrez Gene
HMDB00156	HMDB
1269365	Entrez Gene
1279699	Entrez Gene
1278481	Entrez Gene
1276976	Entrez Gene
HMDB00223	HMDB
HMDB00156	HMDB
HMDB00223	HMDB
1277632	Entrez Gene
1278483	Entrez Gene
HMDB00134	HMDB
1271698	Entrez Gene
HMDB00094	HMDB
HMDB00243	HMDB
1278105	Entrez Gene
HMDB00254	HMDB
1269860	Entrez Gene
1272922	Entrez Gene
