Identifier	Database
1272249	Entrez Gene
1274516	Entrez Gene
1271006	Entrez Gene
1277157	Entrez Gene
1275295	Entrez Gene
1276084	Entrez Gene
1272969	Entrez Gene
1274516	Entrez Gene
1279954	Entrez Gene
1273807	Entrez Gene
1273770	Entrez Gene
1271351	Entrez Gene
1280962	Entrez Gene
1274098	Entrez Gene
1275232	Entrez Gene
1277449	Entrez Gene
1270098	Entrez Gene
1277907	Entrez Gene
1280516	Entrez Gene
1273315	Entrez Gene
1276961	Entrez Gene
1277560	Entrez Gene
1271006	Entrez Gene
1270972	Entrez Gene
1270814	Entrez Gene
1279496	Entrez Gene
1280317	Entrez Gene
1274316	Entrez Gene
1276540	Entrez Gene
1278625	Entrez Gene
1280168	Entrez Gene
1281372	Entrez Gene
1277585	Entrez Gene
1278148	Entrez Gene
1271834	Entrez Gene
1271709	Entrez Gene
1277106	Entrez Gene
1278063	Entrez Gene
AGAP009207	Ensembl
1278538	Entrez Gene
AGAP002219	Ensembl
AGAP001103	Ensembl
1280872	Entrez Gene
1280136	Entrez Gene
1277104	Entrez Gene
1280530	Entrez Gene
6076	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
AGAP009166	Ensembl
AGAP005933	Ensembl
AGAP009166	Ensembl
1270310	Entrez Gene
1270310	Entrez Gene
1276998	Entrez Gene
1280580	Entrez Gene
