Identifier	Database
3290608	Entrez Gene
4576768	Entrez Gene
1280613	Entrez Gene
1269901	Entrez Gene
1278762	Entrez Gene
1273301	Entrez Gene
1273262	Entrez Gene
1273194	Entrez Gene
1274558	Entrez Gene
1281946	Entrez Gene
1270599	Entrez Gene
1273485	Entrez Gene
1271032	Entrez Gene
1274794	Entrez Gene
1274814	Entrez Gene
1275237	Entrez Gene
1269848	Entrez Gene
3289953	Entrez Gene
1277360	Entrez Gene
1273053	Entrez Gene
1279895	Entrez Gene
1277682	Entrez Gene
1275942	Entrez Gene
1278148	Entrez Gene
4576284	Entrez Gene
1272829	Entrez Gene
1274820	Entrez Gene
1281974	Entrez Gene
1273072	Entrez Gene
1271847	Entrez Gene
1281757	Entrez Gene
1281715	Entrez Gene
1278776	Entrez Gene
1281323	Entrez Gene
1270305	Entrez Gene
1280995	Entrez Gene
1276207	Entrez Gene
1273015	Entrez Gene
1278378	Entrez Gene
4576730	Entrez Gene
1277182	Entrez Gene
1280333	Entrez Gene
1278678	Entrez Gene
1269293	Entrez Gene
1273354	Entrez Gene
1281527	Entrez Gene
1275439	Entrez Gene
1269904	Entrez Gene
1276326	Entrez Gene
1271405	Entrez Gene
1277686	Entrez Gene
1280756	Entrez Gene
1269557	Entrez Gene
1270609	Entrez Gene
1269464	Entrez Gene
1272086	Entrez Gene
1276901	Entrez Gene
1277444	Entrez Gene
1279895	Entrez Gene
1270385	Entrez Gene
1270195	Entrez Gene
1279319	Entrez Gene
1269414	Entrez Gene
1269414	Entrez Gene
1274814	Entrez Gene
1270195	Entrez Gene
1272933	Entrez Gene
1269532	Entrez Gene
1278460	Entrez Gene
1272833	Entrez Gene
1270778	Entrez Gene
1269919	Entrez Gene
1269364	Entrez Gene
1280046	Entrez Gene
1277542	Entrez Gene
1275761	Entrez Gene
1270887	Entrez Gene
1272801	Entrez Gene
1271433	Entrez Gene
1268691	Entrez Gene
1277723	Entrez Gene
1280262	Entrez Gene
1273007	Entrez Gene
1276029	Entrez Gene
1276838	Entrez Gene
1278931	Entrez Gene
1275923	Entrez Gene
1274299	Entrez Gene
1271533	Entrez Gene
1273662	Entrez Gene
1281638	Entrez Gene
1276233	Entrez Gene
1277833	Entrez Gene
HMDB01397	HMDB
