Identifier	Database
456587	Entrez Gene
452520	Entrez Gene
450428	Entrez Gene
748294	Entrez Gene
450428	Entrez Gene
748294	Entrez Gene
458323	Entrez Gene
452520	Entrez Gene
455242	Entrez Gene
455104	Entrez Gene
464713	Entrez Gene
469616	Entrez Gene
463774	Entrez Gene
739986	Entrez Gene
470168	Entrez Gene
472484	Entrez Gene
452145	Entrez Gene
473071	Entrez Gene
464763	Entrez Gene
749402	Entrez Gene
HMDB01043	HMDB
HMDB01193	HMDB
HMDB03252	HMDB
HMDB01452	HMDB
HMDB01381	HMDB
HMDB01403	HMDB
HMDB01139	HMDB
HMDB01337	HMDB
HMDB01085	HMDB
HMDB01198	HMDB
HMDB03080	HMDB
HMDB02200	HMDB
HMDB01335	HMDB
