Identifier	Database
455650	Entrez Gene
453676	Entrez Gene
459985	Entrez Gene
473846	Entrez Gene
460858	Entrez Gene
463649	Entrez Gene
457922	Entrez Gene
461836	Entrez Gene
455855	Entrez Gene
456565	Entrez Gene
460692	Entrez Gene
451052	Entrez Gene
455385	Entrez Gene
456035	Entrez Gene
100616510	Entrez Gene
456071	Entrez Gene
468443	Entrez Gene
466142	Entrez Gene
450143	Entrez Gene
743533	Entrez Gene
452892	Entrez Gene
470448	Entrez Gene
467352	Entrez Gene
451863	Entrez Gene
456196	Entrez Gene
461516	Entrez Gene
457351	Entrez Gene
737245	Entrez Gene
459171	Entrez Gene
452897	Entrez Gene
460182	Entrez Gene
450188	Entrez Gene
100611792	Entrez Gene
454515	Entrez Gene
455065	Entrez Gene
453532	Entrez Gene
468310	Entrez Gene
471543	Entrez Gene
736244	Entrez Gene
468286	Entrez Gene
463119	Entrez Gene
454037	Entrez Gene
468536	Entrez Gene
458680	Entrez Gene
453439	Entrez Gene
462644	Entrez Gene
462336	Entrez Gene
461358	Entrez Gene
748652	Entrez Gene
463023	Entrez Gene
450445	Entrez Gene
450161	Entrez Gene
450384	Entrez Gene
451940	Entrez Gene
451301	Entrez Gene
462888	Entrez Gene
451326	Entrez Gene
467498	Entrez Gene
459459	Entrez Gene
454499	Entrez Gene
737524	Entrez Gene
459173	Entrez Gene
456674	Entrez Gene
454455	Entrez Gene
747077	Entrez Gene
467451	Entrez Gene
454750	Entrez Gene
468426	Entrez Gene
463127	Entrez Gene
450110	Entrez Gene
746903	Entrez Gene
456664	Entrez Gene
739162	Entrez Gene
451715	Entrez Gene
463666	Entrez Gene
456828	Entrez Gene
451690	Entrez Gene
460566	Entrez Gene
464812	Entrez Gene
746432	Entrez Gene
450628	Entrez Gene
452960	Entrez Gene
740809	Entrez Gene
747142	Entrez Gene
471961	Entrez Gene
454537	Entrez Gene
469970	Entrez Gene
461391	Entrez Gene
464114	Entrez Gene
456076	Entrez Gene
465336	Entrez Gene
462097	Entrez Gene
453047	Entrez Gene
456893	Entrez Gene
100613619	Entrez Gene
463410	Entrez Gene
450176	Entrez Gene
466302	Entrez Gene
741038	Entrez Gene
451403	Entrez Gene
454832	Entrez Gene
453993	Entrez Gene
450288	Entrez Gene
746068	Entrez Gene
460442	Entrez Gene
463002	Entrez Gene
460765	Entrez Gene
458602	Entrez Gene
464818	Entrez Gene
463880	Entrez Gene
468086	Entrez Gene
468411	Entrez Gene
747237	Entrez Gene
458096	Entrez Gene
453365	Entrez Gene
744047	Entrez Gene
456170	Entrez Gene
750403	Entrez Gene
450390	Entrez Gene
450168	Entrez Gene
463011	Entrez Gene
740699	Entrez Gene
462921	Entrez Gene
467286	Entrez Gene
462709	Entrez Gene
459695	Entrez Gene
464750	Entrez Gene
741963	Entrez Gene
737947	Entrez Gene
454062	Entrez Gene
450445	Entrez Gene
737070	Entrez Gene
454921	Entrez Gene
471564	Entrez Gene
741802	Entrez Gene
472749	Entrez Gene
458735	Entrez Gene
741907	Entrez Gene
452657	Entrez Gene
743199	Entrez Gene
741557	Entrez Gene
459348	Entrez Gene
459985	Entrez Gene
