Identifier	Database
403922	Entrez Gene
403974	Entrez Gene
403782	Entrez Gene
403985	Entrez Gene
403922	Entrez Gene
403974	Entrez Gene
403782	Entrez Gene
403922	Entrez Gene
403998	Entrez Gene
403922	Entrez Gene
403782	Entrez Gene
403974	Entrez Gene
403922	Entrez Gene
403782	Entrez Gene
403974	Entrez Gene
403985	Entrez Gene
611309	Entrez Gene
403976	Entrez Gene
611795	Entrez Gene
403923	Entrez Gene
608246	Entrez Gene
403931	Entrez Gene
403782	Entrez Gene
403974	Entrez Gene
403985	Entrez Gene
403628	Entrez Gene
403584	Entrez Gene
481558	Entrez Gene
403922	Entrez Gene
481497	Entrez Gene
403985	Entrez Gene
751768	Entrez Gene
403923	Entrez Gene
481497	Entrez Gene
403785	Entrez Gene
403628	Entrez Gene
442990	Entrez Gene
403801	Entrez Gene
403922	Entrez Gene
403989	Entrez Gene
403976	Entrez Gene
403584	Entrez Gene
403989	Entrez Gene
403801	Entrez Gene
403584	Entrez Gene
481497	Entrez Gene
403785	Entrez Gene
403628	Entrez Gene
403785	Entrez Gene
403628	Entrez Gene
403785	Entrez Gene
403985	Entrez Gene
403998	Entrez Gene
403989	Entrez Gene
403785	Entrez Gene
403790	Entrez Gene
442990	Entrez Gene
403801	Entrez Gene
481497	Entrez Gene
403790	Entrez Gene
403998	Entrez Gene
403989	Entrez Gene
403989	Entrez Gene
491597	Entrez Gene
474860	Entrez Gene
481731	Entrez Gene
403989	Entrez Gene
403989	Entrez Gene
WP1156	WikiPathways
