Identifier	Database
484943	Entrez Gene
484185	Entrez Gene
485864	Entrez Gene
484943	Entrez Gene
488449	Entrez Gene
490439	Entrez Gene
483312	Entrez Gene
478347	Entrez Gene
486758	Entrez Gene
477575	Entrez Gene
611939	Entrez Gene
476828	Entrez Gene
490878	Entrez Gene
483266	Entrez Gene
404002	Entrez Gene
404002	Entrez Gene
490006	Entrez Gene
490969	Entrez Gene
484757	Entrez Gene
490968	Entrez Gene
490967	Entrez Gene
490967	Entrez Gene
488449	Entrez Gene
490255	Entrez Gene
487328	Entrez Gene
483312	Entrez Gene
484648	Entrez Gene
483042	Entrez Gene
485548	Entrez Gene
484185	Entrez Gene
486148	Entrez Gene
479158	Entrez Gene
484648	Entrez Gene
483042	Entrez Gene
479158	Entrez Gene
