Identifier	Database
804477	Entrez Gene
804481	Entrez Gene
804483	Entrez Gene
804484	Entrez Gene
804485	Entrez Gene
804482	Entrez Gene
804479	Entrez Gene
804480	Entrez Gene
479623	Entrez Gene
474567	Entrez Gene
479780	Entrez Gene
612644	Entrez Gene
609990	Entrez Gene
476040	Entrez Gene
403576	Entrez Gene
403575	Entrez Gene
492093	Entrez Gene
480830	Entrez Gene
608210	Entrez Gene
479805	Entrez Gene
478869	Entrez Gene
474483	Entrez Gene
478577	Entrez Gene
476686	Entrez Gene
475094	Entrez Gene
478032	Entrez Gene
611480	Entrez Gene
477798	Entrez Gene
479887	Entrez Gene
607943	Entrez Gene
475322	Entrez Gene
804476	Entrez Gene
475214	Entrez Gene
476754	Entrez Gene
478629	Entrez Gene
480741	Entrez Gene
479335	Entrez Gene
478983	Entrez Gene
479438	Entrez Gene
804486	Entrez Gene
608455	Entrez Gene
479815	Entrez Gene
477944	Entrez Gene
608530	Entrez Gene
476503	Entrez Gene
609744	Entrez Gene
486347	Entrez Gene
611791	Entrez Gene
804478	Entrez Gene
612614	Entrez Gene
475739	Entrez Gene
611134	Entrez Gene
503668	Entrez Gene
609555	Entrez Gene
489505	Entrez Gene
480681	Entrez Gene
477792	Entrez Gene
491061	Entrez Gene
477595	Entrez Gene
478807	Entrez Gene
804488	Entrez Gene
480149	Entrez Gene
403669	Entrez Gene
476756	Entrez Gene
479901	Entrez Gene
478009	Entrez Gene
490683	Entrez Gene
478393	Entrez Gene
804487	Entrez Gene
403574	Entrez Gene
609887	Entrez Gene
612910	Entrez Gene
478165	Entrez Gene
480204	Entrez Gene
477718	Entrez Gene
608244	Entrez Gene
478981	Entrez Gene
476004	Entrez Gene
478880	Entrez Gene
477682	Entrez Gene
475428	Entrez Gene
476722	Entrez Gene
476794	Entrez Gene
477508	Entrez Gene
478634	Entrez Gene
475630	Entrez Gene
475978	Entrez Gene
HMDB01377	HMDB
HMDB02111	HMDB
C00524	KEGG Compound
C00004	KEGG Compound
C00042	KEGG Compound
C05359	KEGG Compound
C00002	KEGG Compound
HMDB01362	HMDB
C00003	KEGG Compound
C00016	KEGG Compound
C01352	KEGG Compound
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
C05359	KEGG Compound
C05359	KEGG Compound
WP1115	WikiPathways
