Identifier	Database
403836	Entrez Gene
607976	Entrez Gene
403836	Entrez Gene
403835	Entrez Gene
403658	Entrez Gene
490847	Entrez Gene
611644	Entrez Gene
491754	Entrez Gene
613002	Entrez Gene
484791	Entrez Gene
484790	Entrez Gene
448802	Entrez Gene
403541	Entrez Gene
484789	Entrez Gene
484080	Entrez Gene
491011	Entrez Gene
485600	Entrez Gene
607528	Entrez Gene
484791	Entrez Gene
608840	Entrez Gene
491952	Entrez Gene
483900	Entrez Gene
489378	Entrez Gene
478969	Entrez Gene
485599	Entrez Gene
481367	Entrez Gene
481365	Entrez Gene
403968	Entrez Gene
483928	Entrez Gene
483325	Entrez Gene
610233	Entrez Gene
450187	Entrez Gene
403862	Entrez Gene
488846	Entrez Gene
485333	Entrez Gene
611696	Entrez Gene
486704	Entrez Gene
478906	Entrez Gene
489652	Entrez Gene
485938	Entrez Gene
483961	Entrez Gene
483981	Entrez Gene
399518	Entrez Gene
482661	Entrez Gene
403712	Entrez Gene
485963	Entrez Gene
482972	Entrez Gene
487329	Entrez Gene
486951	Entrez Gene
484041	Entrez Gene
485985	Entrez Gene
403718	Entrez Gene
482007	Entrez Gene
100101479	Entrez Gene
403815	Entrez Gene
489020	Entrez Gene
403814	Entrez Gene
403455	Entrez Gene
403472	Entrez Gene
481272	Entrez Gene
403454	Entrez Gene
481142	Entrez Gene
488578	Entrez Gene
403804	Entrez Gene
484670	Entrez Gene
442974	Entrez Gene
483980	Entrez Gene
489082	Entrez Gene
