Identifier	Database
403544	Entrez Gene
442942	Entrez Gene
478447	Entrez Gene
403435	Entrez Gene
476322	Entrez Gene
479325	Entrez Gene
606756	Entrez Gene
476060	Entrez Gene
476094	Entrez Gene
480143	Entrez Gene
449023	Entrez Gene
403862	Entrez Gene
403424	Entrez Gene
486073	Entrez Gene
488241	Entrez Gene
450187	Entrez Gene
489758	Entrez Gene
478365	Entrez Gene
480048	Entrez Gene
475851	Entrez Gene
485919	Entrez Gene
403740	Entrez Gene
482771	Entrez Gene
610845	Entrez Gene
610774	Entrez Gene
403797	Entrez Gene
403430	Entrez Gene
403589	Entrez Gene
479981	Entrez Gene
484429	Entrez Gene
HMDB00464	HMDB
HMDB00464	HMDB
HMDB01139	HMDB
HMDB03175	HMDB
HMDB01335	HMDB
HMDB01452	HMDB
HMDB01139	HMDB
