Identifier	Database
476574	Entrez Gene
480092	Entrez Gene
478983	Entrez Gene
HMDB00193	HMDB
489771	Entrez Gene
HMDB01022	HMDB
403978	Entrez Gene
491075	Entrez Gene
476562	Entrez Gene
482310	Entrez Gene
474403	Entrez Gene
489406	Entrez Gene
403978	Entrez Gene
474614	Entrez Gene
480388	Entrez Gene
476828	Entrez Gene
HMDB01206	HMDB
477177	Entrez Gene
479066	Entrez Gene
475775	Entrez Gene
478634	Entrez Gene
475942	Entrez Gene
479043	Entrez Gene
482945	Entrez Gene
HMDB00156	HMDB
481081	Entrez Gene
480868	Entrez Gene
485448	Entrez Gene
475499	Entrez Gene
HMDB00223	HMDB
HMDB00156	HMDB
HMDB00223	HMDB
477941	Entrez Gene
483704	Entrez Gene
HMDB00134	HMDB
479438	Entrez Gene
HMDB00094	HMDB
HMDB00243	HMDB
474487	Entrez Gene
HMDB00254	HMDB
608210	Entrez Gene
480858	Entrez Gene
