Identifier	Database
477447	Entrez Gene
490789	Entrez Gene
475379	Entrez Gene
475702	Entrez Gene
488103	Entrez Gene
475756	Entrez Gene
611397	Entrez Gene
487532	Entrez Gene
478152	Entrez Gene
475081	Entrez Gene
612971	Entrez Gene
475070	Entrez Gene
608665	Entrez Gene
479485	Entrez Gene
488118	Entrez Gene
477600	Entrez Gene
607749	Entrez Gene
487870	Entrez Gene
403674	Entrez Gene
403674	Entrez Gene
479343	Entrez Gene
475590	Entrez Gene
489027	Entrez Gene
607797	Entrez Gene
478881	Entrez Gene
475115	Entrez Gene
611396	Entrez Gene
476744	Entrez Gene
480921	Entrez Gene
612751	Entrez Gene
478202	Entrez Gene
480361	Entrez Gene
477197	Entrez Gene
480866	Entrez Gene
474556	Entrez Gene
611715	Entrez Gene
491203	Entrez Gene
486914	Entrez Gene
479766	Entrez Gene
100302056	Entrez Gene
480442	Entrez Gene
489468	Entrez Gene
479812	Entrez Gene
477210	Entrez Gene
403506	Entrez Gene
