Identifier	Database
174844	Entrez Gene
173747	Entrez Gene
 	Entrez Gene
172509	Entrez Gene
178025	Entrez Gene
174912	Entrez Gene
177807	Entrez Gene
177530	Entrez Gene
181682	Entrez Gene
171643	Entrez Gene
175500	Entrez Gene
176005	Entrez Gene
180859	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
174180	Entrez Gene
172310	Entrez Gene
176216	Entrez Gene
172310	Entrez Gene
176216	Entrez Gene
176216	Entrez Gene
 	Entrez Gene
176216	Entrez Gene
172310	Entrez Gene
176216	Entrez Gene
176376	Entrez Gene
186222	Entrez Gene
176216	Entrez Gene
180737	Entrez Gene
 	Entrez Gene
175910	Entrez Gene
179771	Entrez Gene
 	Entrez Gene
172310	Entrez Gene
172310	Entrez Gene
 	Entrez Gene
172310	Entrez Gene
176216	Entrez Gene
172310	Entrez Gene
