Identifier	Database
419566	Entrez Gene
420578	Entrez Gene
418593	Entrez Gene
426646	Entrez Gene
421878	Entrez Gene
423567	Entrez Gene
416997	Entrez Gene
421822	Entrez Gene
424077	Entrez Gene
417714	Entrez Gene
424307	Entrez Gene
424640	Entrez Gene
415749	Entrez Gene
421004	Entrez Gene
426254	Entrez Gene
395958	Entrez Gene
424295	Entrez Gene
418058	Entrez Gene
426764	Entrez Gene
422043	Entrez Gene
416027	Entrez Gene
429525	Entrez Gene
424958	Entrez Gene
418907	Entrez Gene
396542	Entrez Gene
422788	Entrez Gene
373984	Entrez Gene
420536	Entrez Gene
424507	Entrez Gene
417563	Entrez Gene
416776	Entrez Gene
419053	Entrez Gene
396425	Entrez Gene
