Identifier	Database
408035	Entrez Gene
414743	Entrez Gene
428752	Entrez Gene
448833	Entrez Gene
395654	Entrez Gene
408036	Entrez Gene
373906	Entrez Gene
427606	Entrez Gene
428937	Entrez Gene
415354	Entrez Gene
426130	Entrez Gene
693245	Entrez Gene
395671	Entrez Gene
426130	Entrez Gene
426130	Entrez Gene
693245	Entrez Gene
426130	Entrez Gene
693245	Entrez Gene
395671	Entrez Gene
426130	Entrez Gene
395671	Entrez Gene
374175	Entrez Gene
417430	Entrez Gene
374038	Entrez Gene
396442	Entrez Gene
396416	Entrez Gene
417553	Entrez Gene
417181	Entrez Gene
770462	Entrez Gene
423778	Entrez Gene
424673	Entrez Gene
770341	Entrez Gene
386572	Entrez Gene
396229	Entrez Gene
415549	Entrez Gene
373953	Entrez Gene
386572	Entrez Gene
420332	Entrez Gene
422456	Entrez Gene
417319	Entrez Gene
421497	Entrez Gene
419455	Entrez Gene
418335	Entrez Gene
417637	Entrez Gene
426773	Entrez Gene
