Identifier	Database
776371	Entrez Gene
395274	Entrez Gene
396227	Entrez Gene
419847	Entrez Gene
415917	Entrez Gene
420624	Entrez Gene
396282	Entrez Gene
426970	Entrez Gene
417926	Entrez Gene
417926	Entrez Gene
395476	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
396227	Entrez Gene
776859	Entrez Gene
424629	Entrez Gene
424629	Entrez Gene
395284	Entrez Gene
395284	Entrez Gene
424080	Entrez Gene
420215	Entrez Gene
424081	Entrez Gene
423901	Entrez Gene
395476	Entrez Gene
396199	Entrez Gene
419083	Entrez Gene
424860	Entrez Gene
417941	Entrez Gene
374234	Entrez Gene
419451	Entrez Gene
374158	Entrez Gene
374158	Entrez Gene
395376	Entrez Gene
395477	Entrez Gene
396224	Entrez Gene
396223	Entrez Gene
396222	Entrez Gene
386582	Entrez Gene
427144	Entrez Gene
417312	Entrez Gene
423778	Entrez Gene
421808	Entrez Gene
424673	Entrez Gene
CHEBI:17761	ChEBI
HMDB01429	HMDB
HMDB01429	HMDB
HMDB01429	HMDB
HMDB01429	HMDB
HMDB01429	HMDB
HMDB00125	HMDB
HMDB01429	HMDB
HMDB01429	HMDB
HMDB01429	HMDB
