Identifier	Database
396368	Entrez Gene
420752	Entrez Gene
424700	Entrez Gene
425199	Entrez Gene
421692	Entrez Gene
415455	Entrez Gene
427645	Entrez Gene
419402	Entrez Gene
415417	Entrez Gene
771582	Entrez Gene
424538	Entrez Gene
769603	Entrez Gene
771999	Entrez Gene
772239	Entrez Gene
771014	Entrez Gene
419313	Entrez Gene
770226	Entrez Gene
396367	Entrez Gene
396368	Entrez Gene
415698	Entrez Gene
374097	Entrez Gene
420788	Entrez Gene
420935	Entrez Gene
422013	Entrez Gene
395340	Entrez Gene
415732	Entrez Gene
420328	Entrez Gene
395339	Entrez Gene
396369	Entrez Gene
427262	Entrez Gene
374077	Entrez Gene
431611	Entrez Gene
395412	Entrez Gene
396229	Entrez Gene
419885	Entrez Gene
418207	Entrez Gene
395113	Entrez Gene
415905	Entrez Gene
421409	Entrez Gene
424991	Entrez Gene
423518	Entrez Gene
423302	Entrez Gene
419399	Entrez Gene
416567	Entrez Gene
421478	Entrez Gene
769924	Entrez Gene
417434	Entrez Gene
395442	Entrez Gene
419580	Entrez Gene
416062	Entrez Gene
769420	Entrez Gene
424542	Entrez Gene
417438	Entrez Gene
416446	Entrez Gene
424116	Entrez Gene
427945	Entrez Gene
474379	Entrez Gene
415698	Entrez Gene
396523	Entrez Gene
417430	Entrez Gene
417668	Entrez Gene
428917	Entrez Gene
423314	Entrez Gene
417612	Entrez Gene
395695	Entrez Gene
426167	Entrez Gene
426926	Entrez Gene
418835	Entrez Gene
421634	Entrez Gene
415502	Entrez Gene
HMDB00058	HMDB
HMDB01143	HMDB
HMDB00464	HMDB
C00165	KEGG Compound
