Identifier	Database
373889	Entrez Gene
374086	Entrez Gene
374044	Entrez Gene
769850	Entrez Gene
427308	Entrez Gene
396017	Entrez Gene
395689	Entrez Gene
396456	Entrez Gene
396221	Entrez Gene
373997	Entrez Gene
396261	Entrez Gene
418610	Entrez Gene
396533	Entrez Gene
417517	Entrez Gene
415783	Entrez Gene
374064	Entrez Gene
395218	Entrez Gene
395217	Entrez Gene
396435	Entrez Gene
374193	Entrez Gene
395833	Entrez Gene
428969	Entrez Gene
396456	Entrez Gene
396458	Entrez Gene
416066	Entrez Gene
421281	Entrez Gene
419796	Entrez Gene
417699	Entrez Gene
423154	Entrez Gene
CHEBI:17234	ChEBI
CHEBI:24996	ChEBI
CHEBI:15946	ChEBI
CHEBI:17719	ChEBI
CHEBI:18021	ChEBI
CHEBI:16108	ChEBI
CHEBI:17138	ChEBI
CHEBI:57288	ChEBI
CHEBI:15595	ChEBI
CHEBI:15595	ChEBI
HMDB01058	HMDB
HMDB00807	HMDB
HMDB01270	HMDB
HMDB00362	HMDB
HMDB00243	HMDB
HMDB00223	HMDB
HMDB00191	HMDB
HMDB00243	HMDB
HMDB00223	HMDB
HMDB00191	HMDB
