Identifier	Database
374187	Entrez Gene
395615	Entrez Gene
396252	Entrez Gene
395806	Entrez Gene
374187	Entrez Gene
395949	Entrez Gene
395801	Entrez Gene
395806	Entrez Gene
374187	Entrez Gene
395801	Entrez Gene
420769	Entrez Gene
428181	Entrez Gene
374118	Entrez Gene
374206	Entrez Gene
415307	Entrez Gene
396045	Entrez Gene
416667	Entrez Gene
395233	Entrez Gene
395956	Entrez Gene
424210	Entrez Gene
374118	Entrez Gene
396252	Entrez Gene
396045	Entrez Gene
395956	Entrez Gene
420769	Entrez Gene
395806	Entrez Gene
374118	Entrez Gene
421879	Entrez Gene
421879	Entrez Gene
395949	Entrez Gene
395097	Entrez Gene
395615	Entrez Gene
395615	Entrez Gene
395801	Entrez Gene
395615	Entrez Gene
422460	Entrez Gene
422460	Entrez Gene
422460	Entrez Gene
395806	Entrez Gene
