Identifier	Database
420788	Entrez Gene
420328	Entrez Gene
421614	Entrez Gene
404296	Entrez Gene
414893	Entrez Gene
414894	Entrez Gene
396138	Entrez Gene
396137	Entrez Gene
427678	Entrez Gene
417965	Entrez Gene
373933	Entrez Gene
15966	ChEBI
29320	ChEBI
17489	ChEBI
395122	Entrez Gene
420351	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
415893	Entrez Gene
769424	Entrez Gene
421409	Entrez Gene
420549	Entrez Gene
423016	Entrez Gene
428252	Entrez Gene
427633	Entrez Gene
420788	Entrez Gene
373953	Entrez Gene
421534	Entrez Gene
395099	Entrez Gene
723973	Entrez Gene
