Identifier	Database
395199	Entrez Gene
416585	Entrez Gene
416330	Entrez Gene
429374	Entrez Gene
424745	Entrez Gene
427947	Entrez Gene
395815	Entrez Gene
395681	Entrez Gene
429126	Entrez Gene
416330	Entrez Gene
416585	Entrez Gene
422230	Entrez Gene
374199	Entrez Gene
395741	Entrez Gene
395681	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
419399	Entrez Gene
417870	Entrez Gene
428017	Entrez Gene
395845	Entrez Gene
386572	Entrez Gene
425964	Entrez Gene
395324	Entrez Gene
416904	Entrez Gene
396416	Entrez Gene
395934	Entrez Gene
416667	Entrez Gene
418000	Entrez Gene
421183	Entrez Gene
417739	Entrez Gene
395727	Entrez Gene
374038	Entrez Gene
428570	Entrez Gene
373953	Entrez Gene
421183	Entrez Gene
427327	Entrez Gene
396033	Entrez Gene
424971	Entrez Gene
419444	Entrez Gene
373954	Entrez Gene
416630	Entrez Gene
417637	Entrez Gene
378795	Entrez Gene
768354	Entrez Gene
395299	Entrez Gene
424044	Entrez Gene
396442	Entrez Gene
395928	Entrez Gene
415905	Entrez Gene
421478	Entrez Gene
424991	Entrez Gene
415905	Entrez Gene
421478	Entrez Gene
424991	Entrez Gene
419399	Entrez Gene
396033	Entrez Gene
395879	Entrez Gene
396294	Entrez Gene
420517	Entrez Gene
374199	Entrez Gene
