Identifier	Database
395337	Entrez Gene
395684	Entrez Gene
395684	Entrez Gene
429374	Entrez Gene
396407	Entrez Gene
374075	Entrez Gene
374199	Entrez Gene
395815	Entrez Gene
395681	Entrez Gene
395741	Entrez Gene
395934	Entrez Gene
386572	Entrez Gene
420027	Entrez Gene
425964	Entrez Gene
373953	Entrez Gene
422456	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
424044	Entrez Gene
420027	Entrez Gene
424044	Entrez Gene
420027	Entrez Gene
420027	Entrez Gene
420027	Entrez Gene
421183	Entrez Gene
421183	Entrez Gene
395133	Entrez Gene
395133	Entrez Gene
396033	Entrez Gene
396033	Entrez Gene
417669	Entrez Gene
396229	Entrez Gene
422016	Entrez Gene
416667	Entrez Gene
395871	Entrez Gene
417226	Entrez Gene
422165	Entrez Gene
373961	Entrez Gene
415905	Entrez Gene
421998	Entrez Gene
419027	Entrez Gene
417312	Entrez Gene
423463	Entrez Gene
395299	Entrez Gene
396512	Entrez Gene
424673	Entrez Gene
416967	Entrez Gene
396185	Entrez Gene
426130	Entrez Gene
693245	Entrez Gene
419280	Entrez Gene
421127	Entrez Gene
396185	Entrez Gene
396245	Entrez Gene
395476	Entrez Gene
426970	Entrez Gene
416318	Entrez Gene
396021	Entrez Gene
777130	Entrez Gene
419523	Entrez Gene
416350	Entrez Gene
422858	Entrez Gene
424733	Entrez Gene
418670	Entrez Gene
426329	Entrez Gene
421372	Entrez Gene
423460	Entrez Gene
421250	Entrez Gene
423512	Entrez Gene
418000	Entrez Gene
100190948	Entrez Gene
426737	Entrez Gene
421570	Entrez Gene
421579	Entrez Gene
386582	Entrez Gene
395928	Entrez Gene
418335	Entrez Gene
374231	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
422703	Entrez Gene
425042	Entrez Gene
423778	Entrez Gene
396416	Entrez Gene
395832	Entrez Gene
421769	Entrez Gene
428703	Entrez Gene
424745	Entrez Gene
428692	Entrez Gene
417637	Entrez Gene
426773	Entrez Gene
428003	Entrez Gene
396294	Entrez Gene
395385	Entrez Gene
420027	Entrez Gene
395556	Entrez Gene
420027	Entrez Gene
420027	Entrez Gene
419847	Entrez Gene
421808	Entrez Gene
421808	Entrez Gene
396227	Entrez Gene
395337	Entrez Gene
