Identifier	Database
395282	Entrez Gene
395852	Entrez Gene
395281	Entrez Gene
374150	Entrez Gene
395852	Entrez Gene
386582	Entrez Gene
415721	Entrez Gene
419126	Entrez Gene
395146	Entrez Gene
374048	Entrez Gene
396172	Entrez Gene
426117	Entrez Gene
419832	Entrez Gene
417919	Entrez Gene
395128	Entrez Gene
387330	Entrez Gene
395574	Entrez Gene
395633	Entrez Gene
417873	Entrez Gene
374004	Entrez Gene
396334	Entrez Gene
373915	Entrez Gene
420179	Entrez Gene
378779	Entrez Gene
374147	Entrez Gene
395909	Entrez Gene
374100	Entrez Gene
395323	Entrez Gene
395680	Entrez Gene
395679	Entrez Gene
421369	Entrez Gene
395132	Entrez Gene
396339	Entrez Gene
395679	Entrez Gene
395680	Entrez Gene
395889	Entrez Gene
418090	Entrez Gene
429126	Entrez Gene
395964	Entrez Gene
420972	Entrez Gene
396033	Entrez Gene
420868	Entrez Gene
395485	Entrez Gene
396466	Entrez Gene
421369	Entrez Gene
395132	Entrez Gene
408035	Entrez Gene
395508	Entrez Gene
