Identifier	Database
770956	Entrez Gene
415905	Entrez Gene
418715	Entrez Gene
396481	Entrez Gene
395274	Entrez Gene
424325	Entrez Gene
768878	Entrez Gene
374094	Entrez Gene
396399	Entrez Gene
100194427	Entrez Gene
693255	Entrez Gene
425965	Entrez Gene
421404	Entrez Gene
415557	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
373953	Entrez Gene
374128	Entrez Gene
424782	Entrez Gene
425210	Entrez Gene
415419	Entrez Gene
373929	Entrez Gene
417669	Entrez Gene
421622	Entrez Gene
418014	Entrez Gene
423163	Entrez Gene
374086	Entrez Gene
424876	Entrez Gene
424149	Entrez Gene
418714	Entrez Gene
417312	Entrez Gene
396466	Entrez Gene
396186	Entrez Gene
396337	Entrez Gene
408035	Entrez Gene
428857	Entrez Gene
396494	Entrez Gene
770488	Entrez Gene
769924	Entrez Gene
386572	Entrez Gene
423572	Entrez Gene
395149	Entrez Gene
419885	Entrez Gene
418207	Entrez Gene
423290	Entrez Gene
416567	Entrez Gene
419399	Entrez Gene
423518	Entrez Gene
415905	Entrez Gene
417840	Entrez Gene
419867	Entrez Gene
396239	Entrez Gene
396245	Entrez Gene
428537	Entrez Gene
396085	Entrez Gene
427327	Entrez Gene
771985	Entrez Gene
770905	Entrez Gene
423085	Entrez Gene
419964	Entrez Gene
426792	Entrez Gene
374192	Entrez Gene
374272	Entrez Gene
423890	Entrez Gene
395642	Entrez Gene
421340	Entrez Gene
396057	Entrez Gene
426737	Entrez Gene
396033	Entrez Gene
771655	Entrez Gene
418356	Entrez Gene
418605	Entrez Gene
395693	Entrez Gene
420332	Entrez Gene
396512	Entrez Gene
396103	Entrez Gene
395113	Entrez Gene
378890	Entrez Gene
378804	Entrez Gene
395853	Entrez Gene
424673	Entrez Gene
395727	Entrez Gene
396200	Entrez Gene
396487	Entrez Gene
426986	Entrez Gene
417553	Entrez Gene
416939	Entrez Gene
423778	Entrez Gene
422592	Entrez Gene
395983	Entrez Gene
770905	Entrez Gene
423085	Entrez Gene
771985	Entrez Gene
423525	Entrez Gene
395928	Entrez Gene
373973	Entrez Gene
421497	Entrez Gene
424860	Entrez Gene
419083	Entrez Gene
427144	Entrez Gene
420479	Entrez Gene
418044	Entrez Gene
395871	Entrez Gene
395917	Entrez Gene
395477	Entrez Gene
395857	Entrez Gene
395284	Entrez Gene
423901	Entrez Gene
426970	Entrez Gene
395476	Entrez Gene
395764	Entrez Gene
417287	Entrez Gene
771145	Entrez Gene
769763	Entrez Gene
769007	Entrez Gene
414136	Entrez Gene
396227	Entrez Gene
395693	Entrez Gene
419847	Entrez Gene
421183	Entrez Gene
417583	Entrez Gene
421579	Entrez Gene
421808	Entrez Gene
421688	Entrez Gene
421352	Entrez Gene
396438	Entrez Gene
776371	Entrez Gene
395196	Entrez Gene
HMDB00058	HMDB
