Identifier	Database
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000015620	Ensembl
424205	Entrez Gene
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000006794	Ensembl
ENSGALG00000017211	Ensembl
ENSGALG00000015620	Ensembl
ENSGALG00000011335	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
ENSGALG00000012914	Ensembl
ENSGALG00000011492	Ensembl
ENSGALG00000011932	Ensembl
