Identifier	Database
414834	Entrez Gene
414834	Entrez Gene
414834	Entrez Gene
424618	Entrez Gene
373928	Entrez Gene
374120	Entrez Gene
395479	Entrez Gene
424487	Entrez Gene
417694	Entrez Gene
373945	Entrez Gene
373945	Entrez Gene
373945	Entrez Gene
424170	Entrez Gene
420534	Entrez Gene
423828	Entrez Gene
422099	Entrez Gene
418533	Entrez Gene
421401	Entrez Gene
373902	Entrez Gene
395221	Entrez Gene
425055	Entrez Gene
395439	Entrez Gene
424618	Entrez Gene
395213	Entrez Gene
416477	Entrez Gene
395988	Entrez Gene
416477	Entrez Gene
408183	Entrez Gene
396266	Entrez Gene
414856	Entrez Gene
395827	Entrez Gene
416477	Entrez Gene
6374	ChEBI
24913	ChEBI
35366	ChEBI
HMDB01852	HMDB
3098	ChEBI
