Identifier	Database
419011	Entrez Gene
416520	Entrez Gene
419489	Entrez Gene
416371	Entrez Gene
396011	Entrez Gene
422069	Entrez Gene
428502	Entrez Gene
423508	Entrez Gene
395315	Entrez Gene
396091	Entrez Gene
427317	Entrez Gene
421633	Entrez Gene
415532	Entrez Gene
421991	Entrez Gene
419287	Entrez Gene
426126	Entrez Gene
395726	Entrez Gene
415484	Entrez Gene
421633	Entrez Gene
423508	Entrez Gene
421633	Entrez Gene
423508	Entrez Gene
419146	Entrez Gene
416675	Entrez Gene
416165	Entrez Gene
423628	Entrez Gene
395726	Entrez Gene
25513-46-6	CAS
59-30-3	CAS
135-16-0	CAS
4033-27-6	CAS
25513-46-6	CAS
134-35-0	CAS
2800-34-2	CAS
7444-29-3	CAS
63-68-3	CAS
107-43-7	CAS
29908-03-0	CAS
979-92-0	CAS
6027-13-0	CAS
426126	Entrez Gene
421060	Entrez Gene
395315	Entrez Gene
427317	Entrez Gene
427317	Entrez Gene
