Identifier	Database
427752	Entrez Gene
396451	Entrez Gene
396297	Entrez Gene
404271	Entrez Gene
395481	Entrez Gene
428767	Entrez Gene
373951	Entrez Gene
419861	Entrez Gene
408082	Entrez Gene
420854	Entrez Gene
422567	Entrez Gene
396453	Entrez Gene
373908	Entrez Gene
414838	Entrez Gene
396394	Entrez Gene
396506	Entrez Gene
374110	Entrez Gene
418101	Entrez Gene
100034745	Entrez Gene
429116	Entrez Gene
427183	Entrez Gene
424548	Entrez Gene
HMDB00464	HMDB
HMDB00464	HMDB
HMDB01139	HMDB
HMDB03175	HMDB
HMDB01335	HMDB
HMDB01452	HMDB
HMDB01139	HMDB
