Identifier	Database
416814	Entrez Gene
429086	Entrez Gene
395844	Entrez Gene
417143	Entrez Gene
419447	Entrez Gene
421401	Entrez Gene
417730	Entrez Gene
420183	Entrez Gene
424822	Entrez Gene
395264	Entrez Gene
423274	Entrez Gene
396231	Entrez Gene
396219	Entrez Gene
421402	Entrez Gene
419792	Entrez Gene
374211	Entrez Gene
422403	Entrez Gene
422403	Entrez Gene
395389	Entrez Gene
419480	Entrez Gene
395213	Entrez Gene
416814	Entrez Gene
424821	Entrez Gene
428809	Entrez Gene
396166	Entrez Gene
408183	Entrez Gene
395346	Entrez Gene
424169	Entrez Gene
395264	Entrez Gene
415492	Entrez Gene
395700	Entrez Gene
423274	Entrez Gene
395844	Entrez Gene
396266	Entrez Gene
424169	Entrez Gene
395389	Entrez Gene
395346	Entrez Gene
426549	Entrez Gene
HMDB03993	HMDB
HMDB02204	HMDB
HMDB03101	HMDB
HMDB02789	HMDB
HMDB02268	HMDB
HMDB02268	HMDB
HMDB03154	HMDB
HMDB03233	HMDB
HMDB00876	HMDB
HMDB03000	HMDB
395346	Entrez Gene
