Identifier	Database
374058	Entrez Gene
395951	Entrez Gene
421998	Entrez Gene
395832	Entrez Gene
396416	Entrez Gene
396442	Entrez Gene
423675	Entrez Gene
395832	Entrez Gene
396416	Entrez Gene
396442	Entrez Gene
421998	Entrez Gene
427327	Entrez Gene
424971	Entrez Gene
422456	Entrez Gene
395815	Entrez Gene
386572	Entrez Gene
420027	Entrez Gene
425964	Entrez Gene
416939	Entrez Gene
417553	Entrez Gene
423960	Entrez Gene
417173	Entrez Gene
419867	Entrez Gene
417840	Entrez Gene
396229	Entrez Gene
423778	Entrez Gene
396245	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
373953	Entrez Gene
424673	Entrez Gene
396512	Entrez Gene
419083	Entrez Gene
396134	Entrez Gene
395941	Entrez Gene
