Identifier	Database
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
425056	Entrez Gene
425056	Entrez Gene
396015	Entrez Gene
424355	Entrez Gene
415807	Entrez Gene
395785	Entrez Gene
424367	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
396015	Entrez Gene
CHEBI:16113	ChEBI
CHEBI:16581	ChEBI
CHEBI:17026	ChEBI
CHEBI:17347	ChEBI
CHEBI:17263	ChEBI
CHEBI:23965	ChEBI
HMDB05849	HMDB
HMDB00363	HMDB
HMDB00374	HMDB
HMDB02961	HMDB
