Identifier	Database
396472	Entrez Gene
416874	Entrez Gene
395534	Entrez Gene
768566	Entrez Gene
421534	Entrez Gene
423298	Entrez Gene
421161	Entrez Gene
396433	Entrez Gene
396430	Entrez Gene
396236	Entrez Gene
420519	Entrez Gene
396386	Entrez Gene
396428	Entrez Gene
395761	Entrez Gene
396032	Entrez Gene
396434	Entrez Gene
396067	Entrez Gene
396470	Entrez Gene
417310	Entrez Gene
396263	Entrez Gene
396024	Entrez Gene
395883	Entrez Gene
395805	Entrez Gene
770789	Entrez Gene
396366	Entrez Gene
396013	Entrez Gene
425457	Entrez Gene
418099	Entrez Gene
423787	Entrez Gene
415296	Entrez Gene
396215	Entrez Gene
374027	Entrez Gene
