Identifier	Database
374094	Entrez Gene
396399	Entrez Gene
395247	Entrez Gene
429683	Entrez Gene
416487	Entrez Gene
374251	Entrez Gene
396399	Entrez Gene
421352	Entrez Gene
396438	Entrez Gene
374094	Entrez Gene
396399	Entrez Gene
395132	Entrez Gene
418175	Entrez Gene
374096	Entrez Gene
396399	Entrez Gene
374251	Entrez Gene
386571	Entrez Gene
374102	Entrez Gene
395666	Entrez Gene
417525	Entrez Gene
424639	Entrez Gene
374233	Entrez Gene
427299	Entrez Gene
431583	Entrez Gene
427171	Entrez Gene
395964	Entrez Gene
771557	Entrez Gene
373996	Entrez Gene
419653	Entrez Gene
395786	Entrez Gene
771038	Entrez Gene
395988	Entrez Gene
416062	Entrez Gene
416446	Entrez Gene
396029	Entrez Gene
396339	Entrez Gene
427760	Entrez Gene
771142	Entrez Gene
420468	Entrez Gene
428675	Entrez Gene
374094	Entrez Gene
396399	Entrez Gene
396399	Entrez Gene
374251	Entrez Gene
396399	Entrez Gene
374094	Entrez Gene
396438	Entrez Gene
421352	Entrez Gene
421352	Entrez Gene
374251	Entrez Gene
396399	Entrez Gene
396399	Entrez Gene
374251	Entrez Gene
374251	Entrez Gene
396399	Entrez Gene
396438	Entrez Gene
396438	Entrez Gene
395865	Entrez Gene
373961	Entrez Gene
769007	Entrez Gene
395670	Entrez Gene
373919	Entrez Gene
420332	Entrez Gene
395303	Entrez Gene
420848	Entrez Gene
395247	Entrez Gene
419642	Entrez Gene
419616	Entrez Gene
424306	Entrez Gene
428441	Entrez Gene
418000	Entrez Gene
419960	Entrez Gene
396087	Entrez Gene
396099	Entrez Gene
395132	Entrez Gene
418001	Entrez Gene
420783	Entrez Gene
419416	Entrez Gene
421769	Entrez Gene
396200	Entrez Gene
419382	Entrez Gene
423381	Entrez Gene
374231	Entrez Gene
395727	Entrez Gene
396512	Entrez Gene
419126	Entrez Gene
422461	Entrez Gene
421228	Entrez Gene
422805	Entrez Gene
419960	Entrez Gene
418735	Entrez Gene
771857	Entrez Gene
417258	Entrez Gene
416842	Entrez Gene
416838	Entrez Gene
420206	Entrez Gene
419198	Entrez Gene
769430	Entrez Gene
421228	Entrez Gene
417258	Entrez Gene
416842	Entrez Gene
416838	Entrez Gene
419960	Entrez Gene
418735	Entrez Gene
771857	Entrez Gene
422805	Entrez Gene
424673	Entrez Gene
395132	Entrez Gene
428181	Entrez Gene
422165	Entrez Gene
396274	Entrez Gene
421369	Entrez Gene
396099	Entrez Gene
768354	Entrez Gene
395152	Entrez Gene
428703	Entrez Gene
416666	Entrez Gene
424195	Entrez Gene
420105	Entrez Gene
373930	Entrez Gene
396096	Entrez Gene
415992	Entrez Gene
426579	Entrez Gene
421183	Entrez Gene
421808	Entrez Gene
429683	Entrez Gene
416487	Entrez Gene
396171	Entrez Gene
416496	Entrez Gene
427809	Entrez Gene
429683	Entrez Gene
427809	Entrez Gene
418175	Entrez Gene
771038	Entrez Gene
427480	Entrez Gene
426797	Entrez Gene
424260	Entrez Gene
426117	Entrez Gene
418739	Entrez Gene
395132	Entrez Gene
424780	Entrez Gene
419917	Entrez Gene
396205	Entrez Gene
396110	Entrez Gene
416667	Entrez Gene
422016	Entrez Gene
373959	Entrez Gene
415721	Entrez Gene
419523	Entrez Gene
422461	Entrez Gene
373970	Entrez Gene
420375	Entrez Gene
418014	Entrez Gene
421192	Entrez Gene
395853	Entrez Gene
373970	Entrez Gene
415721	Entrez Gene
769430	Entrez Gene
769430	Entrez Gene
769430	Entrez Gene
419126	Entrez Gene
777455	Entrez Gene
395132	Entrez Gene
777455	Entrez Gene
395132	Entrez Gene
424780	Entrez Gene
424780	Entrez Gene
415992	Entrez Gene
395247	Entrez Gene
395247	Entrez Gene
386582	Entrez Gene
386582	Entrez Gene
423778	Entrez Gene
420558	Entrez Gene
396341	Entrez Gene
415905	Entrez Gene
416567	Entrez Gene
386582	Entrez Gene
427514	Entrez Gene
416383	Entrez Gene
416137	Entrez Gene
423641	Entrez Gene
423854	Entrez Gene
418001	Entrez Gene
420783	Entrez Gene
374175	Entrez Gene
422688	Entrez Gene
423737	Entrez Gene
374174	Entrez Gene
420206	Entrez Gene
420783	Entrez Gene
418001	Entrez Gene
423854	Entrez Gene
395132	Entrez Gene
419126	Entrez Gene
395132	Entrez Gene
769430	Entrez Gene
420206	Entrez Gene
418739	Entrez Gene
419126	Entrez Gene
769430	Entrez Gene
418739	Entrez Gene
395132	Entrez Gene
420206	Entrez Gene
420206	Entrez Gene
420206	Entrez Gene
419126	Entrez Gene
396252	Entrez Gene
415400	Entrez Gene
421183	Entrez Gene
423778	Entrez Gene
