Identifier	Database
423163	Entrez Gene
423182	Entrez Gene
396500	Entrez Gene
396033	Entrez Gene
415725	Entrez Gene
417825	Entrez Gene
416704	Entrez Gene
416079	Entrez Gene
415927	Entrez Gene
428134	Entrez Gene
416486	Entrez Gene
777365	Entrez Gene
421810	Entrez Gene
396227	Entrez Gene
395083	Entrez Gene
395083	Entrez Gene
777018	Entrez Gene
777018	Entrez Gene
419399	Entrez Gene
416318	Entrez Gene
416137	Entrez Gene
423901	Entrez Gene
424225	Entrez Gene
423233	Entrez Gene
425483	Entrez Gene
396093	Entrez Gene
417287	Entrez Gene
415700	Entrez Gene
415869	Entrez Gene
426133	Entrez Gene
417425	Entrez Gene
386574	Entrez Gene
422989	Entrez Gene
422692	Entrez Gene
424926	Entrez Gene
425416	Entrez Gene
395656	Entrez Gene
420378	Entrez Gene
395430	Entrez Gene
373957	Entrez Gene
373961	Entrez Gene
395635	Entrez Gene
423090	Entrez Gene
418870	Entrez Gene
424629	Entrez Gene
395804	Entrez Gene
424044	Entrez Gene
776859	Entrez Gene
417716	Entrez Gene
395878	Entrez Gene
415304	Entrez Gene
427211	Entrez Gene
418567	Entrez Gene
396492	Entrez Gene
416856	Entrez Gene
418335	Entrez Gene
378892	Entrez Gene
417123	Entrez Gene
417825	Entrez Gene
420047	Entrez Gene
416504	Entrez Gene
417420	Entrez Gene
419656	Entrez Gene
418588	Entrez Gene
373996	Entrez Gene
417486	Entrez Gene
419648	Entrez Gene
419954	Entrez Gene
427820	Entrez Gene
422456	Entrez Gene
419190	Entrez Gene
417554	Entrez Gene
416955	Entrez Gene
421932	Entrez Gene
425619	Entrez Gene
421684	Entrez Gene
396235	Entrez Gene
422884	Entrez Gene
373973	Entrez Gene
423669	Entrez Gene
395928	Entrez Gene
396442	Entrez Gene
424211	Entrez Gene
396033	Entrez Gene
416181	Entrez Gene
432370	Entrez Gene
415626	Entrez Gene
378921	Entrez Gene
424081	Entrez Gene
395284	Entrez Gene
423471	Entrez Gene
374012	Entrez Gene
396416	Entrez Gene
424080	Entrez Gene
395476	Entrez Gene
396093	Entrez Gene
420783	Entrez Gene
423854	Entrez Gene
422576	Entrez Gene
421403	Entrez Gene
415603	Entrez Gene
421213	Entrez Gene
420654	Entrez Gene
420032	Entrez Gene
421550	Entrez Gene
422910	Entrez Gene
416710	Entrez Gene
428713	Entrez Gene
424954	Entrez Gene
770704	Entrez Gene
426792	Entrez Gene
395098	Entrez Gene
423669	Entrez Gene
429069	Entrez Gene
426805	Entrez Gene
421452	Entrez Gene
396093	Entrez Gene
769006	Entrez Gene
418058	Entrez Gene
373930	Entrez Gene
427375	Entrez Gene
396188	Entrez Gene
427254	Entrez Gene
416667	Entrez Gene
421186	Entrez Gene
423463	Entrez Gene
395815	Entrez Gene
419964	Entrez Gene
415551	Entrez Gene
396335	Entrez Gene
418568	Entrez Gene
419049	Entrez Gene
414782	Entrez Gene
374055	Entrez Gene
420660	Entrez Gene
430480	Entrez Gene
424190	Entrez Gene
427144	Entrez Gene
771554	Entrez Gene
374123	Entrez Gene
420479	Entrez Gene
419954	Entrez Gene
415557	Entrez Gene
423408	Entrez Gene
418404	Entrez Gene
395766	Entrez Gene
421137	Entrez Gene
417044	Entrez Gene
417900	Entrez Gene
395857	Entrez Gene
769909	Entrez Gene
426167	Entrez Gene
424975	Entrez Gene
374236	Entrez Gene
420215	Entrez Gene
416990	Entrez Gene
395253	Entrez Gene
395253	Entrez Gene
418014	Entrez Gene
421622	Entrez Gene
396317	Entrez Gene
777018	Entrez Gene
420923	Entrez Gene
415935	Entrez Gene
374012	Entrez Gene
417287	Entrez Gene
378921	Entrez Gene
415700	Entrez Gene
395083	Entrez Gene
417123	Entrez Gene
417287	Entrez Gene
426776	Entrez Gene
417637	Entrez Gene
417577	Entrez Gene
395656	Entrez Gene
396500	Entrez Gene
417577	Entrez Gene
396033	Entrez Gene
