Identifier	Database
426107	Entrez Gene
396518	Entrez Gene
396062	Entrez Gene
395757	Entrez Gene
427947	Entrez Gene
378908	Entrez Gene
427272	Entrez Gene
374038	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
418412	Entrez Gene
419027	Entrez Gene
395934	Entrez Gene
427448	Entrez Gene
425527	Entrez Gene
420963	Entrez Gene
417725	Entrez Gene
415549	Entrez Gene
373953	Entrez Gene
395815	Entrez Gene
427144	Entrez Gene
396349	Entrez Gene
373939	Entrez Gene
373938	Entrez Gene
424044	Entrez Gene
395845	Entrez Gene
417225	Entrez Gene
424528	Entrez Gene
419083	Entrez Gene
420629	Entrez Gene
423572	Entrez Gene
425994	Entrez Gene
417181	Entrez Gene
427327	Entrez Gene
772032	Entrez Gene
416939	Entrez Gene
395964	Entrez Gene
418406	Entrez Gene
427280	Entrez Gene
396442	Entrez Gene
396416	Entrez Gene
395928	Entrez Gene
395362	Entrez Gene
403158	Entrez Gene
422883	Entrez Gene
395556	Entrez Gene
768858	Entrez Gene
419867	Entrez Gene
421127	Entrez Gene
418044	Entrez Gene
395911	Entrez Gene
395911	Entrez Gene
396294	Entrez Gene
420086	Entrez Gene
426412	Entrez Gene
416476	Entrez Gene
424143	Entrez Gene
417979	Entrez Gene
419893	Entrez Gene
416523	Entrez Gene
770756	Entrez Gene
395438	Entrez Gene
417941	Entrez Gene
417553	Entrez Gene
395736	Entrez Gene
417173	Entrez Gene
415349	Entrez Gene
386572	Entrez Gene
425964	Entrez Gene
395832	Entrez Gene
418761	Entrez Gene
770387	Entrez Gene
374071	Entrez Gene
396201	Entrez Gene
771690	Entrez Gene
416694	Entrez Gene
416247	Entrez Gene
424890	Entrez Gene
395099	Entrez Gene
416667	Entrez Gene
422247	Entrez Gene
374035	Entrez Gene
374180	Entrez Gene
423453	Entrez Gene
395917	Entrez Gene
427448	Entrez Gene
395438	Entrez Gene
386580	Entrez Gene
425978	Entrez Gene
426359	Entrez Gene
420489	Entrez Gene
420195	Entrez Gene
771715	Entrez Gene
420115	Entrez Gene
396185	Entrez Gene
378890	Entrez Gene
416938	Entrez Gene
419346	Entrez Gene
395412	Entrez Gene
421932	Entrez Gene
424673	Entrez Gene
424673	Entrez Gene
396512	Entrez Gene
395335	Entrez Gene
427612	Entrez Gene
420215	Entrez Gene
421909	Entrez Gene
424173	Entrez Gene
426885	Entrez Gene
395556	Entrez Gene
426885	Entrez Gene
396239	Entrez Gene
421998	Entrez Gene
395330	Entrez Gene
396062	Entrez Gene
