Identifier	Database
395396	Entrez Gene
417769	Entrez Gene
419097	Entrez Gene
395561	Entrez Gene
395237	Entrez Gene
423114	Entrez Gene
395786	Entrez Gene
418335	Entrez Gene
419097	Entrez Gene
374059	Entrez Gene
374156	Entrez Gene
373886	Entrez Gene
419416	Entrez Gene
769516	Entrez Gene
374112	Entrez Gene
374168	Entrez Gene
374061	Entrez Gene
396170	Entrez Gene
395703	Entrez Gene
417430	Entrez Gene
416567	Entrez Gene
374060	Entrez Gene
419877	Entrez Gene
373887	Entrez Gene
426903	Entrez Gene
423778	Entrez Gene
421808	Entrez Gene
374138	Entrez Gene
417669	Entrez Gene
396244	Entrez Gene
374062	Entrez Gene
417378	Entrez Gene
395146	Entrez Gene
420095	Entrez Gene
395442	Entrez Gene
423532	Entrez Gene
378891	Entrez Gene
415729	Entrez Gene
415730	Entrez Gene
395964	Entrez Gene
418000	Entrez Gene
418726	Entrez Gene
432370	Entrez Gene
415626	Entrez Gene
415607	Entrez Gene
395924	Entrez Gene
771460	Entrez Gene
396252	Entrez Gene
416318	Entrez Gene
424949	Entrez Gene
396174	Entrez Gene
395960	Entrez Gene
422904	Entrez Gene
423958	Entrez Gene
395574	Entrez Gene
423202	Entrez Gene
395995	Entrez Gene
395152	Entrez Gene
374240	Entrez Gene
395446	Entrez Gene
395928	Entrez Gene
415607	Entrez Gene
418456	Entrez Gene
374175	Entrez Gene
374174	Entrez Gene
423737	Entrez Gene
422688	Entrez Gene
395871	Entrez Gene
395132	Entrez Gene
378788	Entrez Gene
395964	Entrez Gene
395546	Entrez Gene
395786	Entrez Gene
423854	Entrez Gene
395982	Entrez Gene
373919	Entrez Gene
420783	Entrez Gene
417605	Entrez Gene
415860	Entrez Gene
416022	Entrez Gene
419024	Entrez Gene
424890	Entrez Gene
395964	Entrez Gene
418335	Entrez Gene
419416	Entrez Gene
415607	Entrez Gene
395865	Entrez Gene
395865	Entrez Gene
415607	Entrez Gene
421808	Entrez Gene
415607	Entrez Gene
396252	Entrez Gene
770125	Entrez Gene
424864	Entrez Gene
432370	Entrez Gene
415626	Entrez Gene
419416	Entrez Gene
423854	Entrez Gene
396341	Entrez Gene
396088	Entrez Gene
424673	Entrez Gene
395983	Entrez Gene
373887	Entrez Gene
374062	Entrez Gene
421813	Entrez Gene
395786	Entrez Gene
374148	Entrez Gene
417769	Entrez Gene
373953	Entrez Gene
396245	Entrez Gene
395561	Entrez Gene
395928	Entrez Gene
374062	Entrez Gene
374062	Entrez Gene
