Identifier	Database
395103	Entrez Gene
417769	Entrez Gene
374243	Entrez Gene
395396	Entrez Gene
395561	Entrez Gene
395703	Entrez Gene
418154	Entrez Gene
395235	Entrez Gene
374168	Entrez Gene
427937	Entrez Gene
429040	Entrez Gene
395562	Entrez Gene
427856	Entrez Gene
427856	Entrez Gene
374062	Entrez Gene
374061	Entrez Gene
373885	Entrez Gene
373886	Entrez Gene
374059	Entrez Gene
374060	Entrez Gene
378788	Entrez Gene
374112	Entrez Gene
420732	Entrez Gene
395572	Entrez Gene
395983	Entrez Gene
422592	Entrez Gene
395442	Entrez Gene
395871	Entrez Gene
419416	Entrez Gene
424949	Entrez Gene
416567	Entrez Gene
415905	Entrez Gene
421409	Entrez Gene
424991	Entrez Gene
423518	Entrez Gene
423302	Entrez Gene
419399	Entrez Gene
423512	Entrez Gene
423460	Entrez Gene
395786	Entrez Gene
378891	Entrez Gene
418335	Entrez Gene
415607	Entrez Gene
395964	Entrez Gene
417088	Entrez Gene
374224	Entrez Gene
420332	Entrez Gene
396341	Entrez Gene
374047	Entrez Gene
419928	Entrez Gene
424673	Entrez Gene
396424	Entrez Gene
417430	Entrez Gene
