Identifier	Database
771092	Entrez Gene
374059	Entrez Gene
424673	Entrez Gene
ENSGALG00000008883	Ensembl
395561	Entrez Gene
396200	Entrez Gene
378891	Entrez Gene
416667	Entrez Gene
ENSGALG00000001605	Ensembl
427937	Entrez Gene
374224	Entrez Gene
423518	Entrez Gene
395786	Entrez Gene
395152	Entrez Gene
420332	Entrez Gene
395103	Entrez Gene
374060	Entrez Gene
423114	Entrez Gene
424949	Entrez Gene
418154	Entrez Gene
395865	Entrez Gene
374243	Entrez Gene
396021	Entrez Gene
424733	Entrez Gene
427856	Entrez Gene
395479	Entrez Gene
415607	Entrez Gene
421808	Entrez Gene
374168	Entrez Gene
100272166	Entrez Gene
395230	Entrez Gene
426884	Entrez Gene
418983	Entrez Gene
422592	Entrez Gene
424991	Entrez Gene
374112	Entrez Gene
419523	Entrez Gene
374062	Entrez Gene
417769	Entrez Gene
395562	Entrez Gene
378788	Entrez Gene
ENSGALG00000006480	Ensembl
374047	Entrez Gene
417669	Entrez Gene
419928	Entrez Gene
423512	Entrez Gene
395572	Entrez Gene
395964	Entrez Gene
396105	Entrez Gene
374061	Entrez Gene
777130	Entrez Gene
422367	Entrez Gene
428852	Entrez Gene
ENSGALG00000002652	Ensembl
415729	Entrez Gene
423302	Entrez Gene
422904	Entrez Gene
423460	Entrez Gene
419416	Entrez Gene
426329	Entrez Gene
416318	Entrez Gene
421409	Entrez Gene
416350	Entrez Gene
395666	Entrez Gene
418000	Entrez Gene
419399	Entrez Gene
ENSGALG00000012644	Ensembl
417430	Entrez Gene
395562	Entrez Gene
423958	Entrez Gene
418335	Entrez Gene
395235	Entrez Gene
395703	Entrez Gene
418670	Entrez Gene
396341	Entrez Gene
373886	Entrez Gene
396424	Entrez Gene
422858	Entrez Gene
419097	Entrez Gene
416567	Entrez Gene
395442	Entrez Gene
395983	Entrez Gene
429040	Entrez Gene
373887	Entrez Gene
417088	Entrez Gene
395396	Entrez Gene
ENSGALG00000003247	Ensembl
415905	Entrez Gene
