Identifier	Database
396099	Entrez Gene
396099	Entrez Gene
396099	Entrez Gene
396099	Entrez Gene
396099	Entrez Gene
396099	Entrez Gene
396099	Entrez Gene
418000	Entrez Gene
416667	Entrez Gene
770910	Entrez Gene
395995	Entrez Gene
396099	Entrez Gene
374018	Entrez Gene
771227	Entrez Gene
770910	Entrez Gene
423521	Entrez Gene
419585	Entrez Gene
422152	Entrez Gene
424518	Entrez Gene
423872	Entrez Gene
776310	Entrez Gene
422192	Entrez Gene
771837	Entrez Gene
418843	Entrez Gene
418365	Entrez Gene
424226	Entrez Gene
771294	Entrez Gene
418328	Entrez Gene
427328	Entrez Gene
395995	Entrez Gene
423081	Entrez Gene
420103	Entrez Gene
424954	Entrez Gene
422621	Entrez Gene
395486	Entrez Gene
415635	Entrez Gene
768387	Entrez Gene
426289	Entrez Gene
417598	Entrez Gene
374207	Entrez Gene
395506	Entrez Gene
373961	Entrez Gene
426885	Entrez Gene
395635	Entrez Gene
422182	Entrez Gene
415307	Entrez Gene
396341	Entrez Gene
770341	Entrez Gene
ENSGALG00000001501	Ensembl
396239	Entrez Gene
ENSGALG00000006885	Ensembl
ENSGALG00000007687	Ensembl
386572	Entrez Gene
396099	Entrez Gene
396442	Entrez Gene
421183	Entrez Gene
395983	Entrez Gene
424971	Entrez Gene
395928	Entrez Gene
6076	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
395099	Entrez Gene
396282	Entrez Gene
396282	Entrez Gene
ENSGALG00000003740	Ensembl
ENSGALG00000003289	Ensembl
396033	Entrez Gene
396033	Entrez Gene
395099	Entrez Gene
395303	Entrez Gene
424673	Entrez Gene
419313	Entrez Gene
419402	Entrez Gene
416457	Entrez Gene
373983	Entrez Gene
