Identifier	Database
421183	Entrez Gene
421183	Entrez Gene
776822	Entrez Gene
421808	Entrez Gene
421688	Entrez Gene
771961	Entrez Gene
373929	Entrez Gene
396227	Entrez Gene
419847	Entrez Gene
419847	Entrez Gene
395727	Entrez Gene
423408	Entrez Gene
769067	Entrez Gene
424044	Entrez Gene
420332	Entrez Gene
395999	Entrez Gene
395099	Entrez Gene
396394	Entrez Gene
417312	Entrez Gene
427144	Entrez Gene
395871	Entrez Gene
395917	Entrez Gene
396229	Entrez Gene
374094	Entrez Gene
421352	Entrez Gene
415700	Entrez Gene
417287	Entrez Gene
378921	Entrez Gene
395934	Entrez Gene
386572	Entrez Gene
415578	Entrez Gene
