Identifier	Database
ENSRNOG00000019500	Ensembl
ENSRNOG00000016173	Ensembl
ENSRNOG00000040287	Ensembl
ENSRNOG00000012458	Ensembl
ENSRNOG00000034191	Ensembl
ENSRNOG00000003510	Ensembl
ENSRNOG00000003620	Ensembl
ENSRNOG00000003400	Ensembl
ENSRNOG00000018076	Ensembl
ENSRNOG00000016727	Ensembl
307092	Entrez Gene
ENSRNOG00000017780	Ensembl
ENSRNOG00000017899	Ensembl
ENSRNOG00000019342	Ensembl
ENSRNOG00000019342	Ensembl
ENSRNOG00000019342	Ensembl
ENSRNOG00000019342	Ensembl
ENSRNOG00000001967	Ensembl
171072	Entrez Gene
ENSRNOG00000011269	Ensembl
ENSRNOG00000001957	Ensembl
24912	Entrez Gene
ENSRNOG00000021046	Ensembl
58953	Entrez Gene
ENSRNOG00000036959	Ensembl
24861	Entrez Gene
396527	Entrez Gene
574523	Entrez Gene
396551	Entrez Gene
113992	Entrez Gene
ENSRNOG00000018740	Ensembl
396552	Entrez Gene
ENSRNOG00000001973	Ensembl
ENSRNOG00000001975	Ensembl
286954	Entrez Gene
116631	Entrez Gene
116632	Entrez Gene
ENSRNOG00000003515	Ensembl
24423	Entrez Gene
ENSRNOG00000001242	Ensembl
ENSRNOG00000001889	Ensembl
ENSRNOG00000005930	Ensembl
ENSRNOG00000005223	Ensembl
ENSRNOG00000011250	Ensembl
ENSRNOG00000016468	Ensembl
ENSRNOG00000008074	Ensembl
24294	Entrez Gene
ENSRNOG00000011367	Ensembl
500892	Entrez Gene
ENSRNOG00000032805	Ensembl
ENSRNOG00000020743	Ensembl
ENSRNOG00000011053	Ensembl
ENSRNOG00000022355	Ensembl
ENSRNOG00000009741	Ensembl
ENSRNOG00000015751	Ensembl
ENSRNOG00000029478	Ensembl
246767	Entrez Gene
ENSRNOG00000007147	Ensembl
ENSRNOG00000009488	Ensembl
ENSRNOG00000009730	Ensembl
ENSRNOG00000019481	Ensembl
ENSRNOG00000020035	Ensembl
ENSRNOG00000000196	Ensembl
ENSRNOG00000017631	Ensembl
24298	Entrez Gene
ENSRNOG00000013062	Ensembl
ENSRNOG00000016750	Ensembl
ENSRNOG00000015076	Ensembl
ENSRNOG00000030698	Ensembl
ENSRNOG00000017188	Ensembl
114700	Entrez Gene
ENSRNOG00000010519	Ensembl
ENSRNOG00000007234	Ensembl
ENSRNOG00000017286	Ensembl
ENSRNOG00000013004	Ensembl
24192	Entrez Gene
ENSRNOG00000010422	Ensembl
296972	Entrez Gene
ENSRNOG00000011550	Ensembl
ENSRNOG00000008480	Ensembl
24404	Entrez Gene
29326	Entrez Gene
ENSRNOG00000021809	Ensembl
ENSRNOG00000013604	Ensembl
ENSRNOG00000018596	Ensembl
24422	Entrez Gene
ENSRNOG00000011669	Ensembl
24421	Entrez Gene
300850	Entrez Gene
ENSRNOG00000016484	Ensembl
ENSRNOG00000018937	Ensembl
ENSRNOG00000018732	Ensembl
ENSRNOG00000019221	Ensembl
64352	Entrez Gene
ENSRNOG00000028746	Ensembl
ENSRNOG00000012801	Ensembl
ENSRNOG00000018237	Ensembl
ENSRNOG00000028188	Ensembl
ENSRNOG00000028188	Ensembl
681913	Entrez Gene
ENSRNOG00000007743	Ensembl
ENSRNOG00000013296	Ensembl
289197	Entrez Gene
ENSRNOG00000014915	Ensembl
ENSRNOG00000018964	Ensembl
ENSRNOG00000010523	Ensembl
64570	Entrez Gene
ENSRNOG00000003264	Ensembl
ENSRNOG00000008663	Ensembl
ENSRNOG00000015466	Ensembl
ENSRNOG00000021179	Ensembl
ENSRNOG00000014192	Ensembl
ENSRNOG00000039017	Ensembl
ENSRNOG00000038622	Ensembl
ENSRNOG00000007989	Ensembl
ENSRNOG00000037453	Ensembl
ENSRNOG00000000572	Ensembl
ENSRNOG00000016953	Ensembl
ENSRNOG00000021521	Ensembl
ENSRNOG00000021521	Ensembl
ENSRNOG00000004258	Ensembl
ENSRNOG00000022919	Ensembl
291770	Entrez Gene
ENSRNOG00000012815	Ensembl
ENSRNOG00000008885	Ensembl
304322	Entrez Gene
ENSRNOG00000025930	Ensembl
691394	Entrez Gene
ENSRNOG00000022982	Ensembl
ENSRNOG00000028743	Ensembl
ENSRNOG00000001375	Ensembl
ENSRNOG00000012549	Ensembl
ENSRNOG00000010598	Ensembl
ENSRNOG00000017659	Ensembl
363618	Entrez Gene
303218	Entrez Gene
ENSRNOG00000036723	Ensembl
ENSRNOG00000000605	Ensembl
ENSRNOG00000014672	Ensembl
ENSRNOG00000014516	Ensembl
ENSRNOG00000030880	Ensembl
364476	Entrez Gene
ENSRNOG00000019014	Ensembl
ENSRNOG00000027171	Ensembl
ENSRNOG00000015781	Ensembl
ENSRNOG00000009577	Ensembl
ENSRNOG00000007395	Ensembl
ENSRNOG00000012142	Ensembl
